none
none
none
none
none
none
none
none
none
none
none
none
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"c" "j" 1;
"a" "g" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1;
"a" "g" "r" 1; "c" "j" 1; "d" "r" 1;
"a" "g" "r" 1; "c" "j" 1; "d" "r" 1;
"a" "g" "r" 1; "c" "j" 1; "d" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" "s" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" "s" 1;
"a" "g" "r" 1; "b" "y" 1; "c" "j" "o" 1; "d" "k" "r" "s" 1;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" "i" 4; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" 5; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "x" "y" 3; "d" "c" 5; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "u" "x" "y" 3; "d" "c" 5; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "u" "x" "y" 3; "d" "c" 5; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "u" "x" "y" 3; "d" "c" 5; "e" "a" 7;
"a" "r" "t" 4; "b" "z" 5; "c" "q" "t" "u" "x" "y" 3; "d" "c" 5; "e" "a" 7;
"a" "r" 5; "b" "z" 6; "c" "q" "t" "u" "x" "y" 3; "d" "c" 5; "e" "a" 7;
"a" "r" 5; "b" "z" 6; "c" "u" 4; "d" "c" 5; "e" "a" 7;
"a" "r" 5; "b" "z" 6; "c" "u" 4; "d" "c" 5; "e" "a" 7;
"a" "r" 5; "b" "z" 6; "c" "u" 4; "d" "c" 5; "e" "a" 7;
"a" "r" 5; "b" "z" 6; "c" "u" 4; "d" "c" 5; "e" "a" 7;
"a" "r" 5; "b" "z" 6; "c" "u" 4; "d" "c" 5; "e" "a" 7;
"a" "r" 5; "b" "z" 6; "c" "u" 4; "d" "c" 5; "e" "a" 7;
"a" "r" 5; "b" "z" 6; "c" "u" 4; "d" "c" 5; "e" "a" 7;
"a" "r" 5; "b" "z" 6; "c" "u" 4; "d" "c" 5; "e" "a" 7;
"a" "r" 5; "b" "z" 6; "c" "u" 4; "d" "c" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 6; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 7; "c" "d" "u" "x" "y" "z" 4; "d" "c" "i" 5; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 5; "d" "c" "i" 5; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 5; "d" "c" "i" 5; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 5; "d" "c" "i" 5; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 5; "d" "c" "i" 5; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 5; "d" "c" "i" 5; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 5; "d" "c" "i" 5; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 5; "d" "c" "i" 5; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 5; "d" "c" "i" 5; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 5; "d" "c" "i" 5; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 5; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "r" "t" 6; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
"a" "t" 7; "b" "z" 7; "c" "z" 6; "d" "c" 6; "e" "a" 7;
