none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "f" 1;
"a" "f" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1;
"a" "f" 1; "c" "s" 1; "d" "b" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 1; "d" "b" "s" "w" 1; "e" "u" 1;
"a" "f" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "f" 1; "c" "s" 2; "d" "b" "s" "w" 1; "e" "t" "u" 1;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "f" "q" "t" "z" 3; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 4; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 5; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 5; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 5; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 5; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 5; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 5; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 5; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" 4; "b" "e" 5; "c" "m" 5; "d" "x" 5; "e" "e" "n" 4;
"a" "a" "q" 4; "b" "e" 5; "c" "m" 5; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "q" 4; "b" "e" 5; "c" "m" 5; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "q" "t" 4; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "q" "t" 4; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "q" "t" 4; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "q" "t" 4; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "t" 5; "b" "e" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "t" 5; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "t" 5; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "a" "t" 5; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "e" "n" "u" 4;
"a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" 4;
"a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" 4;
"a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" 4;
"a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" 4;
"a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" 6; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" "t" 6; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" 7; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" 7; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" 7; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" 7; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "n" "u" "v" 4;
"a" "a" 7; "b" "e" "m" 5; "c" "m" "v" 5; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "m" "v" 5; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "m" "v" 5; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "m" "v" 5; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "x" 5; "e" "c" "k" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "w" "x" 5; "e" "c" "k" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "w" "x" 5; "e" "c" "k" "n" "u" "v" 4;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "w" "x" 5; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "w" "x" 5; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "w" "x" 5; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "j" "w" "x" 5; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "j" "w" "x" 5; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "j" "w" "x" 5; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "j" "w" "x" 5; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "j" "w" "x" 5; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "j" "w" "x" 5; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "j" 6; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "j" 6; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "j" 6; "e" "v" 5;
"a" "a" 7; "b" "m" 6; "c" "v" 6; "d" "j" 6; "e" "v" 5;
