none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 1; "b" "q" 1; "c" "q" "w" 1; "e" "b" 1;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "f" "t" 4; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 4;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 5;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "t" 5; "c" "m" "w" "x" 4; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" "j" 4; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "x" 5; "d" "n" 7; "e" "k" 6;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "g" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "g" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "g" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "g" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "g" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "g" "l" "x" 5; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "e" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "e" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "e" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "e" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "e" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "e" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "y" 5;
"a" "f" "g" 5; "b" "e" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "x" "y" 5;
"a" "f" "g" 5; "b" "e" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "x" "y" 5;
"a" "f" "g" 5; "b" "e" "o" "t" 5; "c" "g" 6; "d" "n" 7; "e" "k" "x" "y" 5;
