none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "w" "x" 1; "d" "h" 1; "e" "v" 1;
"a" "w" "x" 1; "d" "g" "h" 1; "e" "v" 1;
"a" "w" "x" 1; "b" "i" 1; "d" "g" 2; "e" "v" 1;
"a" "w" "x" 1; "b" "i" 1; "d" "g" 2; "e" "v" 1;
"a" "w" "x" 1; "b" "i" 1; "d" "g" 2; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "i" 1; "d" "g" 3; "e" "v" 1;
"a" "v" "w" "x" 1; "b" "h" "i" 1; "d" "g" 3; "e" "v" 1;
"a" "a" "i" "m" 3; "b" "i" "m" "y" 5; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" "p" 3; "b" "m" 6; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" "p" 3; "b" "m" 6; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" "n" "p" 3; "b" "m" 6; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" "n" "p" 3; "b" "m" 6; "c" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" "n" "p" 3; "b" "m" 6; "c" "i" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" "n" "p" 3; "b" "m" 6; "c" "i" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" "n" "p" 3; "b" "m" 6; "c" "i" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" "n" "p" 3; "b" "m" 6; "c" "i" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "a" "i" "m" "n" "p" 3; "b" "m" 6; "c" "i" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "m" 4; "b" "m" 6; "c" "i" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "m" 4; "b" "m" 6; "c" "i" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "m" 4; "b" "m" 6; "c" "i" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "m" 4; "b" "m" 6; "c" "i" "p" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" 6; "c" "a" "i" "p" "r" 3; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" 6; "c" "a" 4; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" 6; "c" "a" 4; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" 6; "c" "a" 4; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" 6; "c" "a" 4; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" "y" 6; "c" "a" 4; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" "y" 6; "c" "a" 4; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" "y" 6; "c" "a" 4; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" "y" 6; "c" "a" 4; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" "y" 6; "c" "a" 4; "d" "g" 6; "e" "v" "x" 4;
"a" "i" "m" "p" "v" 4; "b" "m" "y" 6; "c" "a" 4; "d" "g" 6; "e" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 5; "d" "g" 6; "e" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 5; "d" "g" 6; "e" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 5; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 5; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 5; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "m" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 6; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 7; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 7; "e" "f" "l" "t" "v" "w" "x" 4;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 7; "e" "f" 5;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 7; "e" "f" 5;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 7; "e" "f" 5;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 7; "e" "f" 5;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 7; "e" "f" 5;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 7; "e" "f" 5;
"a" "i" "m" "p" 5; "b" "i" "y" 6; "c" "a" "r" 6; "d" "g" 7; "e" "f" 5;
