none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"a" "x" 1; "c" "e" "m" 1;
"a" "x" 1; "c" "e" "m" 1;
"a" "x" 1; "c" "e" "m" 1;
"a" "x" 1; "b" "s" 1; "c" "e" "m" 1;
"a" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" "m" 1; "d" "g" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "s" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "j" "s" "x" 1; "b" "s" 1; "c" "e" 2; "d" "g" "w" 1;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" "x" 4; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "r" "w" 3; "e" "i" "r" "v" "y" 4;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "r" "w" 3; "e" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "r" "w" 3; "e" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "r" "w" 3; "e" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "r" "w" 3; "e" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "r" "w" 3; "e" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "r" "w" 3; "e" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "d" "f" "m" "q" "r" "w" 3; "e" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 6; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 7; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 7; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 7; "d" "b" "d" "f" "m" "q" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 7; "d" "b" "d" "f" "m" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 7; "d" "b" "d" "f" "m" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 7; "d" "b" "d" "f" "m" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 7; "d" "b" "d" "f" "m" "r" "w" "x" 3; "e" "i" "v" 5;
"a" "l" 5; "b" "i" "t" 4; "c" "t" 7; "d" "b" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "g" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" "v" "y" 5;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "t" 7; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "b" "d" "r" 4; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "a" "c" "g" "i" "t" 4; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "l" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "l" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "l" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "l" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" 5; "b" "c" 5; "c" "e" "l" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" "x" 4; "b" "c" 5; "c" "e" "l" "t" 6; "d" "d" 5; "e" "i" 6;
"a" "l" "x" 4; "b" "c" 5; "c" "e" "l" "t" 6; "d" "d" 5; "e" "i" 6;
