none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "y" 1; "d" "y" 1;
"a" "y" 1; "d" "y" 1;
"a" "y" 1; "d" "y" 1; "e" "s" 1;
"a" "y" 1; "d" "y" 1; "e" "s" 1;
"a" "y" 1; "c" "h" 1; "d" "y" 1; "e" "n" "q" "s" 1;
"a" "y" 1; "c" "h" 1; "d" "y" 1; "e" "n" "q" "s" 1;
"a" "y" 1; "c" "h" 1; "d" "y" 1; "e" "n" "q" "s" 1;
"a" "y" 1; "c" "h" 1; "d" "y" 1; "e" "n" "q" "s" 1;
"a" "y" 1; "c" "h" 1; "d" "y" 1; "e" "n" "q" "s" 1;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" 5; "c" "x" 5; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" 5; "c" "x" 6; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" 5; "c" "x" 6; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" 5; "c" "x" 6; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "n" "y" 4; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "b" "p" 5;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" "u" "v" 5; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "w" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "n" "t" "x" "y" 4; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "x" 5; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "x" 5; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "x" 5; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "x" 5; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "x" 5; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "x" 5; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "x" 5; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "x" 5; "e" "p" 6;
"a" "c" 5; "b" "n" 6; "c" "x" 6; "d" "x" 5; "e" "p" 6;
