none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "q" 1;
"a" "i" 1; "c" "q" 1;
"a" "i" 1; "c" "q" 1;
"a" "i" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1;
"a" "i" "z" 1; "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "c" "q" 1; "d" "h" 1; "e" "r" 1;
"a" "i" "z" 1; "c" "c" "q" 1; "d" "h" 1; "e" "a" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "i" "j" "z" 1; "c" "c" "q" "w" 1; "d" "h" 1; "e" "a" "q" "r" 1;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 4; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 4; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" "d" "t" "w" 3; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 4;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 5;
"a" "a" "l" 4; "b" "p" 4; "c" "v" 5; "d" "g" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "g" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "g" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "g" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" "w" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "z" 4; "e" "g" "l" "w" "x" 5;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "a" "c" "p" "r" "z" 4; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "f" "r" "u" "v" "w" 4; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "r" "v" 5; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "r" "v" 5; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "r" "v" 5; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "r" "v" 5; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "r" "v" 5; "d" "z" 5; "e" "x" 6;
"a" "a" "t" 5; "b" "p" 4; "c" "r" "v" 5; "d" "z" 5; "e" "x" 6;
