none
none
none
none
none
none
"a" "n" 1; "e" "a" 1;
"a" "n" 1; "d" "c" 1; "e" "a" 1;
"a" "n" 1; "d" "c" 1; "e" "a" 1;
"a" "n" 1; "c" "l" 1; "d" "c" 1; "e" "a" 1;
"a" "n" 1; "c" "l" 1; "d" "c" 1; "e" "a" 1;
"a" "n" 1; "c" "l" 1; "d" "c" 1; "e" "a" 1;
"a" "n" 1; "c" "l" 1; "d" "c" 1; "e" "a" 1;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "a" "n" "o" 5; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "g" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "g" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "g" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "g" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "g" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "g" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "g" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "g" "q" "y" 4;
"a" "n" 6; "b" "c" 4; "c" "k" "l" "r" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" "r" 4; "c" "k" "l" "r" "w" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" "r" 4; "c" "k" "l" "r" "w" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" "r" 4; "c" "k" "l" "r" "w" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" "r" 4; "c" "k" "l" "r" "w" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" "r" 4; "c" "k" "l" "r" "w" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" "r" 4; "c" "k" "l" "r" "w" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" "r" 4; "c" "k" "l" "r" "w" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" "r" 4; "c" "k" "l" "r" "w" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 5; "c" "k" "l" "r" "w" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" "t" 5; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" "y" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "e" "k" "l" "r" "w" 4; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 6; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "b" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "b" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "b" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "b" "q" 4;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "b" 5;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "b" 5;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "b" 5;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "b" 5;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "b" 5;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "b" 5;
"a" "n" 7; "b" "c" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "b" 5;
"a" "n" 7; "b" "c" "g" "r" 5; "c" "r" 5; "d" "q" 6; "e" "a" "b" 5;
