none
none
none
none
none
none
none
none
none
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"b" "x" 1; "d" "a" 1;
"b" "x" 1; "d" "a" 1;
"b" "x" 1; "d" "a" 1;
"b" "x" 1; "d" "a" 1;
"b" "x" 1; "d" "a" 1;
"a" "p" 1; "b" "x" 1; "d" "a" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" 1; "e" "e" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "t" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" 1; "e" "e" "k" 1;
"a" "p" 1; "b" "a" "s" "x" 1; "d" "a" "o" "t" "y" "z" 1; "e" "e" "g" "k" "z" 1;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "k" 4;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "k" 4;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "k" 4;
"a" "p" 5; "b" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "y" 4; "e" "g" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "n" "y" 4; "e" "g" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "n" "y" 4; "e" "g" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "n" "y" 4; "e" "g" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "m" "n" "y" 4; "e" "g" "k" 4;
"a" "p" 5; "b" "a" "u" 3; "c" "b" "j" "t" 4; "d" "y" 5; "e" "g" "i" "k" 4;
"a" "p" 5; "b" "a" "c" "u" 3; "c" "b" "j" "t" 4; "d" "y" 5; "e" "g" "i" "k" 4;
"a" "p" 5; "b" "a" "c" "u" 3; "c" "b" 5; "d" "y" 5; "e" "g" "i" "k" 4;
"a" "p" 5; "b" "a" "c" "u" 3; "c" "b" 5; "d" "y" 5; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "u" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" "u" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" "u" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "a" "c" "q" 3; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" "c" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" "c" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "b" "c" 5; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "c" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "c" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "c" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "c" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" 4; "c" "c" 6; "d" "y" 6; "e" "c" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "c" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "c" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "c" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "c" "g" "h" "i" "k" 4;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "u" 4; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "t" "u" 4; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "q" "t" "u" 4; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "y" 6; "e" "g" "i" 5;
"a" "p" 6; "b" "q" "u" 5; "c" "a" "c" 6; "d" "t" "y" 6; "e" "g" "i" 5;
