none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "j" 1;
"e" "j" 1;
"e" "j" 1;
"e" "j" 1;
"a" "b" 1; "e" "j" 1;
"a" "b" 1; "e" "j" 1;
"a" "b" 1; "d" "c" 1; "e" "j" 1;
"a" "b" 1; "d" "c" 1; "e" "j" 1;
"a" "b" 1; "c" "i" 1; "d" "c" "o" 1; "e" "j" 1;
"a" "b" 1; "c" "i" 1; "d" "c" "o" 1; "e" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "b" "h" 1; "c" "i" 1; "d" "p" 2; "e" "d" "j" 1;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "j" "x" 4;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 6; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" "o" "p" 5; "e" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 6; "e" "b" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 6; "e" "b" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "j" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "j" "l" "x" 5;
"a" "l" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "j" "l" "x" 5;
"a" "l" "u" "x" "y" 4; "b" "k" 6; "c" "g" 7; "d" "h" 7; "e" "b" "j" "l" "x" 5;
