none
none
none
none
none
none
none
none
none
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1;
"b" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "s" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "r" 1;
"b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "l" "r" 1;
"b" "e" "s" "w" "y" 1; "c" "e" "t" 1; "d" "d" "l" "r" 1; "e" "f" "l" 1;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" "m" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" "m" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" "m" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" "m" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" "m" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "l" "m" 4; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "e" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "f" "h" "r" 4; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 5; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 5; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 5; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 5; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 5; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 5; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 5; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 5; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 6; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 6; "b" "h" "n" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "v" 4; "c" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 5; "e" "i" "z" 4;
"a" "r" 7; "b" "h" "n" "u" "v" 4; "c" "l" "m" 5; "d" "d" "s" 5; "e" "i" "n" "z" 4;
"a" "r" 7; "b" "h" "n" "u" "v" 4; "c" "l" "m" 5; "d" "d" "s" 5; "e" "i" "n" "z" 4;
"a" "r" 7; "b" "h" "n" "u" "v" 4; "c" "l" "m" 5; "d" "d" "s" 5; "e" "i" "n" "z" 4;
"a" "r" 7; "b" "h" "n" "u" "v" 4; "c" "l" "m" 5; "d" "d" "s" 5; "e" "i" "n" "z" 4;
"a" "r" 7; "b" "h" "n" "u" "v" 4; "c" "l" "m" 5; "d" "d" "s" 5; "e" "i" "n" "z" 4;
"a" "r" 7; "b" "h" "n" "u" "v" 4; "c" "l" "m" 5; "d" "d" "s" 5; "e" "i" "n" "z" 4;
"a" "r" 7; "b" "h" "n" "u" "v" 4; "c" "l" "m" 5; "d" "d" "s" 5; "e" "i" "n" "z" 4;
"a" "r" 7; "b" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "d" "s" 5; "e" "i" "n" "z" 4;
"a" "r" 7; "b" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "d" "s" 5; "e" "i" "n" "z" 4;
"a" "r" 7; "b" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" "h" "k" "n" "u" "v" 4; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 5; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "z" 5;
"a" "r" 7; "b" "e" 6; "c" "l" "m" 5; "d" "s" 6; "e" "o" "z" 5;
