none
none
none
none
none
"a" "q" 1;
"a" "q" 1;
"a" "q" 1;
"a" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1;
"a" "l" "q" 1; "b" "b" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" 1; "d" "c" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "e" "s" "v" 1; "d" "b" "c" "l" "q" 1; "e" "s" 1;
"a" "c" "l" "q" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "s" "y" 1;
"a" "c" "l" "q" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "s" "y" 1;
"a" "c" "l" "q" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "l" "q" "r" 1; "b" "b" "c" "e" "k" "s" "v" "y" 1; "d" "b" "c" "d" "l" "q" 1; "e" "b" "e" "s" "y" 1;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "q" "y" 5;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 4; "c" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "q" "y" 3; "b" "f" 4; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "q" "y" 3; "b" "f" 4; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "q" "y" 3; "b" "f" 4; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "q" "y" 3; "b" "f" 4; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "q" "y" 3; "b" "f" 4; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "q" "y" 3; "b" "f" 4; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "q" "y" 3; "b" "f" 4; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" "j" "r" 3; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 6;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" "y" 3; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" 5; "c" "a" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 4; "d" "o" 6; "e" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
"a" "c" "o" 4; "b" "f" "u" 5; "c" "a" "r" 5; "d" "a" "d" "o" 6; "e" "q" "y" 7;
