none
none
none
none
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1; "c" "p" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" 1;
"b" "l" "m" 1;
"b" "l" "m" 1;
"b" "l" "m" 1;
"b" "l" "m" 1;
"b" "l" "m" 1;
"b" "l" "m" 1; "c" "h" "j" "l" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "d" 1; "b" "l" "m" 1; "c" "h" "j" "l" "w" 1; "d" "a" "v" 1;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "k" "t" 3; "e" "d" "y" 4;
"a" "e" "j" "q" "t" 3; "b" "w" "y" 4; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" "y" 4; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" "y" 4; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" "y" 4; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" "y" 4; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" "y" 4; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" "y" 4; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" "y" 4; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" "y" 4; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" "y" 4; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "e" "j" "q" "t" "y" 3; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 7; "d" "t" 4; "e" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 7; "d" "t" 4; "e" "d" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 7; "d" "t" 4; "e" "d" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 7; "d" "t" 4; "e" "d" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "q" "y" 4; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "q" "r" "y" 4; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "q" "r" "y" 4; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "q" "r" "y" 4; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" "y" 5; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" 4; "e" "d" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "w" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "w" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "w" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 6; "c" "t" 6; "d" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 6; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "r" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "r" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "r" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "r" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "r" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "r" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "r" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
"a" "e" "r" "w" "y" 5; "b" "w" 7; "c" "t" 6; "d" "m" "n" "t" "z" 4; "e" "d" "u" "y" 5;
