none
none
none
none
none
none
none
none
none
none
"e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" 1; "e" "h" 1;
"c" "c" "e" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"b" "r" 1; "c" "c" "e" "q" "s" 1; "d" "h" 1; "e" "h" 1;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" "s" "t" 3; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "b" "k" "p" "s" "u" 3; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "g" "v" "w" 3;
"a" "u" 4; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "e" "g" "v" "w" 3;
"a" "u" 4; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "e" "g" "v" "w" 3;
"a" "u" 4; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "e" "g" "v" "w" 3;
"a" "u" 4; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "e" "g" "v" "w" 3;
"a" "u" 4; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "e" "g" "v" "w" 3;
"a" "u" 4; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "e" "g" "v" "w" 3;
"a" "u" 4; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "e" "g" "j" "v" "w" 3;
"a" "u" 4; "b" "a" "e" "r" "w" 3; "c" "q" 4; "d" "h" 5; "e" "e" "g" "j" "v" "w" 3;
"a" "u" 4; "b" "w" 4; "c" "q" 4; "d" "h" 5; "e" "e" "g" "j" "v" "w" 3;
"a" "u" 4; "b" "w" 4; "c" "q" 4; "d" "h" 5; "e" "e" "g" "j" "v" "w" 3;
"a" "u" 4; "b" "w" 4; "c" "q" 4; "d" "h" 5; "e" "e" "g" "j" "v" "w" 3;
"a" "u" 4; "b" "w" 4; "c" "q" 4; "d" "h" 5; "e" "e" "g" "j" "v" "w" 3;
"a" "u" 4; "b" "w" 4; "c" "q" 4; "d" "h" 5; "e" "e" "g" "j" "v" "w" 3;
"a" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" "x" 5; "e" "e" "g" "j" "v" "w" 3;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" "x" 5; "e" "e" "g" "j" "v" "w" 3;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "e" "g" "j" "v" "w" 3;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "e" "g" "j" "v" "w" 3;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "e" "g" "j" "v" "w" 3;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 5; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "p" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "f" "p" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "b" "f" "l" "p" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "b" "f" "i" "l" "p" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "b" "f" "i" "l" "p" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "b" "f" "i" "l" "p" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "b" "f" "i" "l" "p" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "b" "f" "i" "l" "p" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "b" "f" "i" "l" "p" "r" "s" "u" 4; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 6; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" "w" 4;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
"a" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
"a" "f" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
"a" "f" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
"a" "f" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
"a" "f" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
"a" "f" "l" 5; "b" "w" 5; "c" "q" 6; "d" "h" 7; "e" "j" 5;
