none
none
none
none
none
none
none
none
none
none
none
"c" "x" 1;
"a" "w" 1; "c" "x" 1;
"a" "w" 1; "c" "x" 1;
"a" "w" 1; "c" "x" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "w" 1; "c" "x" 1; "d" "u" 1; "e" "u" 1;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "q" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "q" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "q" "s" 4; "d" "g" 3; "e" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "q" "s" 4; "d" "g" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "x" "z" 3; "c" "q" "s" 4; "d" "g" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "c" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "c" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "c" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "c" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "c" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "c" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "c" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "c" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "c" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "c" "q" "x" "z" 3; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" "v" "y" 3; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "g" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "a" "d" "g" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "a" "d" "g" "n" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "a" "d" "g" "n" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "a" "d" "g" "n" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "a" "d" "g" "n" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "a" "d" "g" "n" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "a" "d" "g" "n" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "w" "x" "z" 4; "c" "q" "s" "w" 4; "d" "a" "d" "g" "n" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "q" "w" "x" 4; "c" "q" "s" 4; "d" "a" "d" "g" "n" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "q" "w" "x" 4; "c" "q" "s" 4; "d" "a" "d" "g" "n" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "q" "w" "x" 4; "c" "q" "s" 4; "d" "a" "d" "g" "n" "q" "v" "y" "z" 3; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "q" "w" "x" 4; "c" "q" "s" 4; "d" "v" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "c" "q" "w" "x" 4; "c" "q" "s" 4; "d" "v" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "h" "m" "v" "w" 4;
"a" "e" "h" 5; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "h" "m" "v" "w" 4;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "d" "h" "m" "v" "w" 4;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "d" "h" "m" "v" "w" 4;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "m" "w" 5;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "m" "w" 5;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "m" "w" 5;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "m" "w" 5;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "m" "w" 5;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "m" "w" 5;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "m" "w" 5;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "m" "w" 5;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "f" "m" "w" 5;
"a" "h" 6; "b" "x" 5; "c" "q" "s" 4; "d" "v" 4; "e" "f" "m" "w" 5;
"a" "h" 6; "b" "x" 6; "c" "q" "s" 4; "d" "v" 4; "e" "f" "m" "w" 5;
"a" "h" 6; "b" "x" 6; "c" "q" "s" 4; "d" "v" 4; "e" "f" "m" "w" 5;
"a" "h" 6; "b" "x" 6; "c" "q" "s" 4; "d" "v" 4; "e" "f" "m" "w" 5;
"a" "h" 6; "b" "x" 6; "c" "q" "s" 4; "d" "v" 4; "e" "f" "m" "w" 5;
"a" "h" 6; "b" "x" 6; "c" "q" "s" 4; "d" "d" "v" 4; "e" "f" "m" "w" 5;
"a" "h" 6; "b" "x" 6; "c" "q" "s" 4; "d" "d" "v" 4; "e" "f" "m" "w" 5;
"a" "h" 6; "b" "x" 6; "c" "q" "s" 4; "d" "d" "v" 4; "e" "f" "m" "w" 5;
"a" "h" 6; "b" "x" 6; "c" "q" "s" 4; "d" "d" "v" 4; "e" "f" "m" "w" 5;
