none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"b" "m" 1;
"a" "b" 1; "b" "m" 1;
"a" "b" 1; "b" "m" 1;
"a" "b" 1; "b" "m" 1; "d" "s" 1;
"a" "b" 1; "b" "m" 1; "d" "s" 1;
"a" "b" 1; "b" "m" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" "m" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" "m" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "b" "m" 1; "b" "c" "m" 1; "c" "h" "w" 1; "d" "s" 1;
"a" "f" 5; "b" "c" 5; "c" "h" "j" "q" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" "j" "q" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" "j" "q" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" "j" "q" 4; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 5; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 5; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 5; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 5; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 5; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" "i" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" "i" "z" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "h" "i" "z" 4;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 5; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "c" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
"a" "f" 5; "b" "m" 5; "c" "h" 6; "d" "l" 6; "e" "h" "z" 5;
