none
none
none
none
none
none
none
none
none
none
none
none
"b" "v" 1;
"b" "v" 1;
"b" "v" 1;
"b" "v" 1;
"b" "n" "v" 1; "e" "o" 1;
"b" "n" "v" 1; "e" "o" 1;
"b" "n" "v" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" "w" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" "w" 1; "e" "o" 1;
"b" "n" "v" 1; "d" "c" "d" "w" 1; "e" "l" "o" 1;
"b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" "o" 1;
"b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "e" "v" 1; "b" "e" "k" "n" "v" 1; "d" "a" "c" "d" "w" 1; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" 2; "e" "l" 2;
"a" "a" "e" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "v" 1; "b" "e" "i" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" "e" "k" "o" "r" "v" 1; "b" "e" "i" "k" "n" "p" "v" "w" 1; "d" "a" "d" "w" 2; "e" "l" 2;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "o" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "o" "p" "r" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "o" "p" "r" "t" "v" "w" 3; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "v" "w" 4; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "t" "v" "w" 4; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "t" "v" "w" 4; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "t" "v" "w" 4; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "q" "t" "v" "w" 4; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "q" "t" "v" "w" 4; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 4; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "f" "p" 6;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "a" "u" "w" 5; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" "t" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" 5; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" "c" "m" "s" 4; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" "c" "g" "m" "s" 4; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" "c" "g" "m" "s" 4; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" "c" "g" "m" "s" 4; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" "c" "g" "m" "s" 4; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "w" 6; "e" "p" 7;
"a" "a" "c" "g" "m" "s" 4; "b" "p" 5; "c" "m" "p" "w" 5; "d" "a" "t" "w" 6; "e" "p" 7;
"a" "a" "c" "g" "m" "s" 4; "b" "p" "r" 5; "c" "m" "p" "w" 5; "d" "a" "t" "w" 6; "e" "p" 7;
