"b" "y" 1;
"b" "y" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "d" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "d" "w" 1;
"b" "y" 1; "d" "l" "z" 1; "e" "d" "w" 1;
"b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "t" 1; "b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "t" 1; "b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "t" 1; "b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "t" 1; "b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "t" 1; "b" "y" 1; "d" "l" "o" "z" 1; "e" "d" "w" 1;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "k" 4; "c" "f" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "k" 4; "c" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "b" "f" "q" 3; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "b" "e" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "b" "e" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "b" "e" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "b" "e" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "b" "e" "f" "g" "k" 3; "c" "q" 4; "d" "g" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "q" "u" "v" "w" "z" 3; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "q" "x" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "g" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "g" "q" "t" "u" 4; "e" "b" "l" 4;
"a" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "g" "q" "t" "u" 4; "e" "b" "l" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "u" 5; "e" "b" "l" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "u" 5; "e" "b" "l" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "u" 5; "e" "b" "l" "n" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "q" "u" 5; "e" "b" "l" "n" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "q" "u" 5; "e" "b" "l" "n" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "q" "u" 5; "e" "b" "l" "n" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "q" "u" 5; "e" "b" "l" "n" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "q" "u" 5; "e" "b" "l" "n" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "g" "q" "u" 5; "e" "b" "n" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "g" "q" "u" 5; "e" "b" "n" 4;
"a" "h" "m" "w" 4; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "g" "q" "u" 5; "e" "b" "n" 4;
"a" "w" 5; "b" "e" 5; "c" "k" "p" "q" "x" 4; "d" "g" "q" "t" "u" 5; "e" "b" "n" 4;
"a" "w" 5; "b" "e" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "k" "p" "q" "x" "y" 4; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "e" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "q" 5; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "q" 6; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "q" 6; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "w" 5; "b" "q" 6; "c" "x" 5; "d" "u" 6; "e" "b" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" "u" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" "u" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" "u" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" "u" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "u" 6; "e" "b" "l" "n" "q" "u" 4;
"a" "t" "w" 5; "b" "q" 6; "c" "x" 5; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 6; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 7; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 7; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 7; "c" "x" 6; "d" "g" "t" "u" 6; "e" "b" 5;
"a" "w" 5; "b" "q" 7; "c" "x" 6; "d" "u" 7; "e" "b" 5;
