none
none
none
none
none
none
none
none
none
none
none
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "g" 1;
"b" "v" 1; "e" "e" "g" 1;
"b" "v" 1; "e" "e" "g" 1;
"b" "v" 2; "e" "e" "g" 1;
"b" "v" 2; "e" "e" "g" 1;
"b" "v" 2; "e" "e" "f" "g" 1;
"b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" 1;
"b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" 1;
"b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" 1;
"b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" 1;
"b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" 1;
"b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" 1;
"b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" 1;
"b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "n" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "n" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "n" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "n" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "n" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "n" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "n" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" 1; "b" "v" 3; "d" "f" "n" "u" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" "p" 1; "b" "v" 3; "d" "f" "n" "u" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" "p" 1; "b" "v" 3; "d" "f" "n" "u" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" "p" 1; "b" "v" 3; "d" "f" "n" "u" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" "p" 1; "b" "v" 3; "d" "f" "n" "u" "y" 1; "e" "e" "f" "g" "p" 1;
"a" "m" "v" "y" 3; "b" "t" "v" 4; "c" "p" "s" 4; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "m" "v" "y" 3; "b" "t" "v" 4; "c" "p" "s" 4; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "t" "v" 4; "c" "p" "s" 4; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "t" "v" 4; "c" "p" "s" 5; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "t" "v" 4; "c" "p" "s" 5; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "n" "t" "v" 4; "c" "s" 5; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "n" "t" "v" 4; "c" "s" 5; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "n" "t" "v" 4; "c" "s" 5; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "n" "t" "v" 4; "c" "s" 5; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "n" "t" "v" 4; "c" "s" 5; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "n" "t" "v" 4; "c" "s" 5; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "n" "t" "v" 4; "c" "s" 5; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "n" "t" "v" 4; "c" "s" 5; "d" "t" "y" 4; "e" "k" "u" 3;
"a" "y" 4; "b" "n" "t" "v" 4; "c" "s" 5; "d" "t" "y" 4; "e" "e" "k" "u" 3;
"a" "y" 4; "b" "v" 5; "c" "s" 5; "d" "t" "y" 4; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 4; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 4; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 4; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 4; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" "k" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" "k" "y" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" "k" "y" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" "k" "y" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" "k" "y" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" "k" "y" 4;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "n" "v" 5; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "t" "y" 5; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 5;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "w" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "w" "y" 4; "b" "v" 6; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" 6;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "s" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "n" "v" 5; "c" "f" "i" "p" "r" "s" "z" 4; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" "i" "p" "r" "s" "z" 4; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" "i" "p" "r" "s" "z" 4; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" "i" "p" "r" "s" "z" 4; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" "i" "p" "r" "s" "z" 4; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "a" "d" "w" "y" "z" 4; "b" "v" 6; "c" "f" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "a" "d" "s" "w" "y" "z" 4; "b" "v" 6; "c" "f" 5; "d" "y" 6; "e" "e" "k" "p" 5;
"a" "a" "d" "s" "w" "y" "z" 4; "b" "v" 6; "c" "f" 5; "d" "y" 6; "e" "e" "k" "p" 5;
