none
none
none
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1;
"a" "k" 1; "c" "e" 1; "e" "g" "q" 1;
"a" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" "z" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "q" "z" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "l" "q" "z" 1;
"a" "d" "k" 1; "b" "i" "x" 1; "c" "e" "j" 1; "e" "c" "g" "l" "q" "z" 1;
"a" "d" "k" 1; "b" "g" "i" "x" 1; "c" "e" "j" "n" "v" 1; "e" "c" "g" "l" "q" "z" 1;
"a" "d" "k" 1; "b" "g" "i" "x" 1; "c" "e" "j" "n" "v" 1; "e" "c" "g" "l" "q" "z" 1;
"a" "d" "k" 1; "b" "g" "i" "x" 1; "c" "e" "j" "n" "v" 1; "e" "c" "g" "l" "q" "v" "z" 1;
"a" "d" 4; "b" "x" 5; "c" "f" "i" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 4; "b" "x" 5; "c" "f" "i" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 4; "b" "x" 5; "c" "f" "i" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 4; "b" "x" 5; "c" "f" "i" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 4; "b" "x" 5; "c" "f" "i" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "f" "i" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "f" "i" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "f" "i" "j" "v" "x" 3; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 5; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 6; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "h" "z" 5;
"a" "d" 5; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "h" "z" 5;
"a" "d" 6; "b" "x" 6; "c" "v" 4; "d" "m" "p" 4; "e" "d" "h" "z" 5;
"a" "d" 6; "b" "x" 7; "c" "v" 4; "d" "m" "p" 4; "e" "d" "h" "z" 5;
"a" "d" 6; "b" "x" 7; "c" "v" 4; "d" "m" "p" 4; "e" "d" "h" "x" "z" 5;
"a" "d" 6; "b" "x" 7; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "x" "z" 5;
"a" "d" 6; "b" "x" 7; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "x" "z" 5;
"a" "d" 6; "b" "x" 7; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "x" "z" 5;
"a" "d" 6; "b" "x" 7; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "x" "z" 5;
"a" "d" 6; "b" "x" 7; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "u" "x" "z" 5;
"a" "d" 6; "b" "x" 7; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "u" "x" "z" 5;
"a" "d" 6; "b" "x" 7; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "u" "x" "z" 5;
"a" "d" 6; "b" "x" 7; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "u" "x" "z" 5;
"a" "d" 6; "b" "x" 8; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "u" "x" "z" 5;
"a" "d" 6; "b" "x" 8; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "u" "x" "z" 5;
"a" "d" 6; "b" "x" 8; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "u" "x" "z" 5;
"a" "d" 6; "b" "x" 8; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "u" "x" "z" 5;
"a" "d" 6; "b" "x" 8; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "u" "x" "z" 5;
"a" "d" 6; "b" "x" 8; "c" "j" "v" 4; "d" "m" "p" 4; "e" "d" "h" "u" "x" "z" 5;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" "z" 4; "e" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "m" "p" "z" 4; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 5; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 5; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 5; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 5; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 5; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 5; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 5; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 5; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 5; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 5; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 6; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 6; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 6; "e" "h" "u" 6;
"a" "d" "r" 6; "b" "x" 8; "c" "f" "j" "p" "t" "v" "y" 4; "d" "z" 6; "e" "h" "u" 6;
