none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "e" 1;
"a" "e" 1;
"a" "e" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "e" "a" 1;
"a" "e" "h" 1; "d" "x" 1; "e" "a" 1;
"a" "e" "h" 1; "d" "x" 1; "e" "a" 1;
"a" "e" "h" 1; "c" "p" 1; "d" "x" 1; "e" "a" 1;
"a" "e" "h" 1; "c" "p" 1; "d" "x" 2; "e" "a" 1;
"a" "e" "h" 1; "c" "p" 1; "d" "x" 2; "e" "a" 1;
"a" "e" 2; "c" "f" "p" 1; "d" "x" 2; "e" "a" 1;
"a" "e" 2; "c" "f" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" 2; "c" "f" "p" "t" 1; "d" "x" 2; "e" "a" "i" 1;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "b" "m" "n" 4; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "m" 5; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "m" 5; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "m" 5; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "m" 5; "c" "p" 5; "d" "j" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "m" 5; "c" "p" 5; "d" "j" "w" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "m" 5; "c" "p" 5; "d" "j" "w" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "m" 5; "c" "p" 5; "d" "j" "w" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "m" 5; "c" "p" 5; "d" "j" "w" 4; "e" "d" "e" "l" "q" "w" "z" 3;
"a" "e" "l" 3; "b" "m" 5; "c" "p" 5; "d" "j" "w" 4; "e" "d" "e" "i" "l" "q" "w" "z" 3;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "d" "e" "i" "l" "q" "w" "z" 3;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "d" "e" "i" "l" "q" "w" "z" 3;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "d" "e" "i" "l" "q" "w" "z" 3;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "d" "e" "i" "l" "q" "w" "z" 3;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "d" "e" "i" "l" "q" "w" "z" 3;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "d" "e" "i" "l" "q" "w" "z" 3;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "d" "e" "i" "l" "q" "w" "z" 3;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "d" "e" "i" "l" "q" "w" "z" 3;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "d" "e" "i" "l" "q" "w" "z" 3;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 4; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 5; "d" "i" "j" "w" 4; "e" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "w" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "w" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "e" "l" "n" "u" 3; "b" "m" 5; "c" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" "j" "v" "w" 4; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "w" "z" 4;
"a" "c" "e" "l" "n" "u" 3; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 5; "c" "g" "p" "t" 5; "d" "i" 5; "e" "q" "r" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 6; "c" "g" "p" "t" 5; "d" "c" "i" 5; "e" "q" "r" "s" "v" "w" "z" 4;
"a" "e" 4; "b" "m" 6; "c" "g" "p" "t" 5; "d" "c" "i" 5; "e" "q" "r" "s" "v" "w" "z" 4;
