none
none
none
none
none
none
none
none
none
none
none
"e" "c" 1;
"e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" 1; "c" "b" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" "q" 1; "c" "b" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" "q" 1; "c" "b" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "p" "q" 1; "c" "b" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"b" "k" "p" "q" 1; "c" "b" "i" "x" 1; "d" "e" 1; "e" "c" "y" 1;
"a" "c" "n" 4; "b" "k" 5; "c" "t" 5; "d" "v" 4; "e" "c" "d" "j" "w" 3;
"a" "c" "n" 4; "b" "k" 5; "c" "t" 5; "d" "v" 4; "e" "c" "d" "j" "w" 3;
"a" "c" "n" 4; "b" "k" 5; "c" "t" 5; "d" "v" 4; "e" "c" "d" "j" "w" 3;
"a" "c" "n" 4; "b" "k" 5; "c" "t" 5; "d" "v" 4; "e" "c" "d" "j" "w" 3;
"a" "c" "n" 4; "b" "k" 5; "c" "t" 5; "d" "v" 4; "e" "c" "d" "j" "w" 3;
"a" "c" "n" 4; "b" "k" 5; "c" "t" 5; "d" "v" 4; "e" "c" "d" "j" "w" 3;
"a" "c" "n" 4; "b" "k" 5; "c" "t" 5; "d" "v" 4; "e" "c" "d" "j" "w" 3;
"a" "c" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "c" "d" "j" "w" "y" 3;
"a" "c" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "c" "d" "j" "w" "y" 3;
"a" "c" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "c" "d" "j" "w" "y" 3;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" 5; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 5; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 4; "d" "g" "v" 4; "e" "d" "w" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 6; "d" "g" "v" 4; "e" "d" "w" "y" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 6; "d" "g" "v" 4; "e" "d" "w" "y" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 6; "d" "g" "v" 4; "e" "d" "w" "y" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 6; "d" "g" "v" 4; "e" "d" "w" "y" 4;
"a" "c" "f" "n" 4; "b" "k" "p" "z" 4; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "n" 4; "b" "p" 5; "c" "t" 6; "d" "g" "v" 4; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 5; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" "f" "n" 4; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" 5; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 5;
"a" "c" 5; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" "p" 5; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 6; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 6; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 6; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 6; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 6; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 6; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 6; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 7; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 6; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
"a" "c" "f" 5; "b" "k" "p" 7; "c" "t" 7; "d" "v" 6; "e" "w" 6;
