none
none
"a" "s" 1;
"a" "s" 1;
"a" "s" 1;
"a" "s" 1;
"a" "s" 1;
"a" "s" 1;
"a" "s" 1;
"a" "s" 1; "b" "s" 1;
"a" "s" 1; "b" "s" 1;
"a" "s" 1; "b" "s" "x" 1;
"a" "s" 1; "b" "s" "x" 1;
"a" "s" 1; "b" "s" "x" 1; "e" "x" 1;
"a" "s" 1; "b" "s" "x" 1; "e" "x" 1;
"a" "s" 1; "b" "s" "x" 1; "c" "x" 1; "e" "x" 1;
"a" "s" 1; "b" "s" "x" 1; "c" "x" 1; "e" "x" 1;
"a" "s" 1; "b" "s" "x" 1; "c" "x" 1; "e" "x" 1;
"a" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "o" "s" "v" 1; "b" "s" "x" 2; "c" "x" 1; "e" "x" 1;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "h" "k" "m" "p" "s" "x" 4; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 6; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 7; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 7; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 7; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 7; "d" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 7; "d" "h" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 7; "d" "h" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 7; "d" "h" "p" 5; "e" "x" 6;
"a" "t" 5; "b" "s" "u" 5; "c" "a" 7; "d" "h" "p" 5; "e" "x" 6;
