none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "k" 1;
"c" "k" 1;
"c" "k" 1; "d" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"b" "m" 1; "c" "k" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "k" "l" 1; "d" "l" "u" 1;
"a" "d" 1; "b" "m" 1; "c" "f" "k" "l" 1; "d" "l" "u" 1;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "s" 3; "b" "e" "o" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" "h" "o" "p" "t" 4; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" 5; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" 5; "c" "f" 4; "d" "l" "t" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" 4;
"a" "d" "i" "s" 3; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "e" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "e" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "e" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "e" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "e" "f" 4; "d" "l" "t" "x" 3; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "e" "f" "z" 4; "d" "x" 4; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "e" "f" "z" 4; "d" "x" 4; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "e" "f" "z" 4; "d" "x" 4; "e" "v" "y" 4;
"a" "s" 4; "b" "e" "l" 5; "c" "e" "f" "z" 4; "d" "x" 4; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 6; "c" "e" "f" "z" 4; "d" "x" 4; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 6; "c" "e" "f" "z" 4; "d" "x" 4; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 6; "c" "e" 5; "d" "x" 4; "e" "v" "y" 4;
"a" "s" 4; "b" "e" 6; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 6; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 6; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 6; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 6; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "i" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "i" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "i" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "i" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "i" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "i" "s" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "i" "s" "y" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "i" "s" "y" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "i" "s" "y" 4; "b" "e" 7; "c" "e" 5; "d" "x" 4; "e" "y" 5;
"a" "i" "s" "y" 4; "b" "e" 7; "c" "e" 5; "d" "x" 5; "e" "y" 5;
"a" "i" "s" "v" "y" 4; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "i" "s" "v" "y" 4; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "i" "s" "v" "y" 4; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "i" "s" "v" "y" 4; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "i" "s" "v" "y" 4; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "i" "s" "v" "y" 4; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "i" "s" "v" "y" 4; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "e" "f" 5; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 5;
"a" "b" "v" 5; "b" "e" 7; "c" "f" 6; "d" "x" 5; "e" "y" 6;
