none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "g" 1;
"a" "g" 1; "d" "g" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1;
"a" "g" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "v" 1; "e" "x" 1;
"a" "g" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "w" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "w" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "w" 1; "b" "e" 1; "d" "g" "j" "v" 1; "e" "x" 1;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" "g" "j" "x" 4; "e" "h" "l" "n" 4;
"a" "d" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "d" "g" "q" "u" 3; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "g" 4; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "g" 4; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "g" 4; "b" "a" "f" "i" "l" "m" "t" "u" "v" "x" 2; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "h" "l" "n" 4;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" "q" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" "q" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 4; "d" "c" "q" 5; "e" "n" 5;
"a" "g" 4; "b" "l" "x" 3; "c" "f" "g" 4; "d" "c" "q" 5; "e" "n" 6;
"a" "g" 4; "b" "l" "x" 3; "c" "f" "g" 4; "d" "c" "q" 5; "e" "n" 6;
"a" "g" 4; "b" "l" "x" 3; "c" "f" "g" 4; "d" "c" "q" 5; "e" "n" 6;
"a" "g" 4; "b" "l" "x" 3; "c" "f" "g" 4; "d" "c" "q" 5; "e" "n" 6;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 4; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "a" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "a" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "a" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "a" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" 5; "e" "n" 6;
"a" "g" 5; "b" "a" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" "j" "l" "x" 3; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "x" "y" 5; "e" "n" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "h" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "h" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "h" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "h" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "h" "j" "n" "q" 5;
"a" "g" 5; "b" "a" 4; "c" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "q" 6;
"a" "g" 5; "b" "a" 4; "c" "f" "g" 5; "d" "c" "q" "s" "x" "y" 5; "e" "n" "q" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 6; "d" "c" "q" "s" "x" "y" 5; "e" "n" "q" 6;
"a" "g" 5; "b" "a" 4; "c" "g" 6; "d" "c" "q" "s" "x" "y" 5; "e" "n" "q" 6;
"a" "g" 5; "b" "a" 4; "c" "f" "g" 6; "d" "c" "q" "s" "x" "y" 5; "e" "n" "q" 6;
"a" "g" 5; "b" "a" 4; "c" "f" "g" 6; "d" "c" "q" "s" "x" "y" 5; "e" "n" "q" 6;
