none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "u" 1; "b" "a" 1;
"a" "u" 1; "b" "a" 1;
"a" "u" 1; "b" "a" 1;
"a" "u" 1; "b" "a" 1; "d" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" "u" 1; "b" "a" 1; "c" "c" 1; "d" "a" "b" 1;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "o" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "o" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "o" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "o" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "o" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "o" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "o" "p" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "o" "p" "s" "y" 3; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" "m" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" "p" "s" 4; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "k" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "k" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "k" 4; "b" "j" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "k" 4; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "f" "k" 4; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "f" "k" 4; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "f" "k" 4; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "f" "k" 4; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "f" "k" 4; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "f" "k" 4; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "o" 5;
"a" "e" "f" "k" 4; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "e" "f" "k" 4; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "e" "f" "k" 4; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" 5; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" "o" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "a" "j" "n" 5; "c" "a" "x" 4; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "a" "j" "n" 5; "c" "a" 5; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "a" "j" "n" 5; "c" "a" 5; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 5; "b" "a" "j" "n" 5; "c" "a" 5; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 6; "b" "a" "j" "n" 5; "c" "a" 5; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 6; "b" "a" "j" "n" 5; "c" "a" 5; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 6; "b" "a" "j" "n" 5; "c" "a" 5; "d" "j" "s" 5; "e" "j" "n" 5;
"a" "k" 6; "b" "a" "j" "n" 5; "c" "a" 5; "d" "j" "s" 5; "e" "j" "n" 5;
