none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "c" "c" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "s" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "x" 1; "b" "a" "b" "s" "t" 1; "c" "c" "x" "y" 1; "e" "d" "l" 1;
"a" "z" 5; "b" "b" 5; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 5; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "w" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "w" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "s" "v" "w" "z" 3;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "v" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "v" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "v" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "v" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "v" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "v" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "v" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "v" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "v" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" "v" "w" 4;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "u" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "g" "u" "x" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "g" "u" "x" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "g" "u" "x" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "g" "u" "x" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "g" "u" "x" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "g" "u" "x" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "g" "u" "x" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "g" "u" "x" "z" 5; "b" "b" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" "u" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" 6; "d" "d" "u" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" "l" 6; "d" "d" "u" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" "l" 6; "d" "d" "u" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" "l" 6; "d" "d" "u" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" "l" 6; "d" "d" "u" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" "l" 6; "d" "d" "u" 5; "e" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" "l" 6; "d" "d" "u" 5; "e" "g" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" "l" 6; "d" "d" "u" 5; "e" "g" "l" 5;
"a" "f" "g" "u" "x" "z" 5; "b" "b" "o" 6; "c" "c" "l" 6; "d" "d" "u" 5; "e" "g" "l" 5;
