none
none
none
none
none
none
none
"c" "l" 1;
"c" "l" 1;
"c" "l" 1;
"c" "l" 1; "e" "x" 1;
"c" "l" 1; "e" "x" 1;
"c" "d" "l" 1; "e" "x" 1;
"c" "d" "l" 1; "e" "x" 1;
"b" "y" 1; "c" "d" "l" 1; "d" "r" 1; "e" "x" 1;
"b" "y" 1; "c" "d" "l" 1; "d" "r" 1; "e" "t" "x" 1;
"b" "y" 1; "c" "d" "l" 1; "d" "r" 1; "e" "t" "x" 1;
"b" "y" 1; "c" "d" "l" 1; "d" "r" 1; "e" "t" "x" 1;
"b" "y" 1; "c" "d" "l" 1; "d" "r" 1; "e" "t" "x" 1;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" "i" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" "i" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" "i" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" "i" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" "i" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" "i" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" "i" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" "i" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" "i" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "n" 4; "c" "d" "i" 5; "d" "g" "n" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "n" 4; "c" "d" "i" 5; "d" "g" "q" 4; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" "k" "m" 4;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" 5; "d" "q" 5; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" 5; "d" "q" 6; "e" "d" 5;
"a" "m" 5; "b" "a" 5; "c" "d" "i" "o" 5; "d" "q" 7; "e" "d" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" "o" 5; "d" "q" 7; "e" "d" "k" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" "o" 5; "d" "q" 7; "e" "d" "k" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" "o" 5; "d" "q" 7; "e" "d" "k" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" "o" 5; "d" "q" 7; "e" "d" "k" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" "o" 5; "d" "q" 7; "e" "d" "k" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" "o" 5; "d" "q" 7; "e" "d" "k" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "d" "i" "o" 5; "d" "q" 7; "e" "d" "k" 5;
"a" "m" 5; "b" "a" "i" "n" 4; "c" "b" "d" "i" "o" 5; "d" "q" 7; "e" "d" "k" 5;
"a" "m" 5; "b" "a" "i" "n" "z" 4; "c" "b" "d" "i" "o" 5; "d" "q" 7; "e" "d" "k" 5;
"a" "m" 5; "b" "a" "i" "n" "z" 4; "c" "b" "d" "i" "o" 5; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "i" "n" "z" 4; "c" "b" "d" "i" "o" 5; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "i" "n" "z" 4; "c" "b" "d" "i" "o" 5; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "i" "n" "z" 4; "c" "b" "d" "i" "o" 5; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "i" "n" "z" 4; "c" "b" "d" "i" "o" 5; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "i" "n" "z" 4; "c" "b" "d" "i" "o" 5; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "i" "n" "z" 4; "c" "b" "d" "o" 5; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "i" "n" "z" 4; "c" "b" "d" "o" 5; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "i" "n" "z" 4; "c" "b" "d" "o" 5; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 6;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "m" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "m" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "m" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "m" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "m" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "m" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "m" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "m" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "a" "g" "i" "m" "n" "z" 4; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
"a" "m" "r" 5; "b" "n" 5; "c" "o" 6; "d" "q" 7; "e" "k" 7;
