none
none
none
"d" "o" 1;
"d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "m" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "m" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "x" 1; "b" "m" "z" 1; "c" "i" 1; "d" "j" "o" 1;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "e" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "e" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "e" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "e" "m" "p" "q" 3; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 7; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" "t" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 4; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 4; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 5; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "j" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "j" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "j" "q" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "f" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" "m" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" "m" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" "m" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" "m" "p" 4; "e" "e" "m" 6;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" "m" "p" 4; "e" "m" 7;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "e" "f" "i" "j" "m" "p" 4; "e" "m" 7;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 7;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 8;
"a" "c" 6; "b" "i" "k" 6; "c" "q" 5; "d" "i" 5; "e" "m" 8;
