none
none
none
none
"a" "f" 1; "b" "t" 1;
"a" "f" 1; "b" "t" 1;
"a" "f" 1; "b" "t" 1;
"a" "f" 1; "b" "t" 1;
"a" "f" 1; "b" "t" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "t" 1; "c" "w" 1; "d" "y" 1;
"a" "f" 1; "b" "b" "t" 1; "c" "e" "w" 1; "d" "y" 1;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "w" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "e" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "b" "e" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "b" "e" "u" "y" 4; "d" "i" "n" "r" "y" "z" 3; "e" "t" 5;
"a" "a" 4; "b" "y" 5; "c" "b" "e" "s" "u" "y" 4; "d" "i" "n" "r" "y" "z" 3; "e" "b" "s" "t" 5;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "s" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "b" "s" "t" 5;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "s" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "b" "s" "t" 5;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "s" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "b" "s" "t" 5;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "s" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "b" "s" "t" 5;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "s" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "b" "s" "t" 5;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "o" "s" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "b" 6;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "o" "s" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "b" 6;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "o" "s" "u" "y" 4; "d" "i" "l" "n" "r" "y" "z" 3; "e" "b" 6;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "o" "s" "u" "y" 4; "d" "i" "l" "n" "r" "t" "u" "y" "z" 3; "e" "b" 6;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "o" "s" "u" "y" 4; "d" "i" "l" "n" "r" "t" "u" "y" "z" 3; "e" "b" 6;
"a" "a" 4; "b" "y" 6; "c" "b" "e" "o" "s" "u" "y" 4; "d" "i" "l" "n" "r" "t" "u" "y" "z" 3; "e" "b" 6;
"a" "a" 5; "b" "y" 6; "c" "e" 5; "d" "i" "l" "n" "r" "t" "u" "y" "z" 3; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 6; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 6; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 6; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" 5; "d" "r" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" "t" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
"a" "a" 5; "b" "y" 7; "c" "e" "j" "o" 5; "d" "l" "r" "z" 4; "e" "b" 6;
