none
none
none
none
none
none
none
none
none
"b" "g" 1;
"b" "g" 1;
"b" "f" "g" 1; "c" "g" 1;
"b" "f" "g" 1; "c" "g" 1;
"b" "f" "g" 1; "c" "g" 1;
"b" "f" "g" "k" 1; "c" "g" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 1;
"b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "g" "v" "y" 1; "b" "f" "g" "k" 1; "c" "a" "g" 1; "e" "l" 2;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "x" 6; "b" "o" 5; "c" "f" 6; "d" "k" 6; "e" "s" 6;
"a" "f" "x" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 6; "e" "l" "s" 6;
"a" "f" "x" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 6; "e" "l" "s" 6;
"a" "f" "x" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 6; "e" "l" "s" 6;
"a" "f" "x" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" "x" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" "m" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" "m" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" "m" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" 6; "d" "k" "m" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "l" "s" 6;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "s" 7;
"a" "f" "p" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "s" 7;
"a" "f" "p" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "s" 7;
"a" "f" "p" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "s" 7;
"a" "f" "p" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 7;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "k" "m" "o" "q" "x" 5; "e" "s" 8;
"a" "f" "p" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "q" 6; "e" "s" 8;
"a" "f" "p" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "q" 6; "e" "s" 8;
"a" "f" "p" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "q" 6; "e" "s" 8;
"a" "f" "p" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "q" 6; "e" "s" 8;
"a" "f" "p" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "q" 6; "e" "s" 8;
"a" "f" "p" 6; "b" "j" "o" 5; "c" "f" "y" 6; "d" "q" 6; "e" "s" 8;
