none
none
none
none
none
none
none
"e" "u" 1;
"e" "u" 1;
"e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"c" "u" 1; "e" "u" 1;
"b" "r" 1; "c" "u" 1; "e" "u" 1;
"b" "r" 1; "c" "u" 1; "e" "u" 1;
"b" "r" 1; "c" "u" 1; "e" "u" 1;
"a" "k" 1; "b" "r" 1; "c" "u" 1; "e" "u" 1;
"a" "k" 1; "b" "r" 1; "c" "u" 1; "e" "u" 1;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "u" "x" 1;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" "p" 1; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "b" "u" 1; "e" "x" 2;
"a" "k" 2; "b" "r" "y" 1; "c" "b" "u" 1; "e" "x" 2;
"a" "f" "k" 2; "b" "r" "y" 1; "c" "u" 2; "e" "x" 2;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 5; "c" "p" 5; "d" "u" 4; "e" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "d" "f" "k" "u" 5; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 6; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "u" "v" 4; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" "u" "v" 5;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "v" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "v" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "v" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "v" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "v" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "v" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "v" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "v" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" 6;
"a" "f" "u" 6; "b" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" 6;
"a" "f" "u" 6; "b" "h" "x" 7; "c" "p" 5; "d" "v" 5; "e" "c" 6;
