none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "p" 1;
"e" "p" 1;
"c" "x" 1; "e" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "h" "p" 1;
"c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "v" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "v" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "v" "x" 1; "d" "s" 1; "e" "g" "h" "p" 1;
"a" "g" "i" 1; "c" "j" "v" "x" 1; "d" "s" 1; "e" "g" "h" "k" "p" 1;
"a" "g" "i" 1; "c" "c" "j" "v" "x" 1; "d" "s" 1; "e" "g" "h" "k" "p" 1;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 5; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "v" 4; "c" "h" "i" "t" 4; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "n" "q" 3; "b" "i" "v" 4; "c" "h" "i" "t" 4; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" 3; "b" "i" "v" 4; "c" "t" 5; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" 3; "b" "i" "v" 4; "c" "t" 5; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" 3; "b" "i" "v" 4; "c" "t" 5; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" 3; "b" "i" "v" 4; "c" "t" 5; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" 3; "b" "i" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" 3; "b" "i" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" 3; "b" "i" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" 3; "b" "i" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" 3; "b" "i" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "g" "h" 4;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 6; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "c" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "c" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "c" "i" "l" "p" "v" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "c" "i" "l" "p" "v" "z" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "c" "i" "l" "p" "v" "z" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "c" "i" "l" "p" "v" "z" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "g" "i" "n" "q" "s" 3; "b" "c" "i" "l" "p" "v" "z" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" "i" "j" "l" "p" "v" "z" 4; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" 5; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" 5; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" 5; "c" "i" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" 5; "c" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "g" "h" 5;
"a" "s" 4; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "s" 4; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" "s" 4; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" "s" 4; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" "s" 4; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" "s" 4; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" "s" 4; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" "s" 4; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 7; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
"a" "g" 5; "b" "c" 6; "c" "t" 5; "d" "s" 8; "e" "h" 6;
