none
none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"b" "d" 1; "d" "v" 1;
"a" "w" 1; "b" "d" 1; "c" "w" 1; "d" "v" 1;
"a" "w" 1; "b" "d" 1; "c" "w" 1; "d" "v" 1;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" "s" 5; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 4;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" "b" "e" "f" "m" "s" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" "b" "e" "f" "m" "s" "w" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" "b" "e" "f" "m" "s" "w" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" "b" "e" "f" "m" "s" "w" 3; "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" "b" "e" "f" "m" "s" "w" 3; "b" "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "b" "d" "i" "n" 3; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" "y" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" "y" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" "y" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "q" "s" "y" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 4; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "e" "s" 6; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" "m" "p" "q" "s" "y" 4; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 7; "e" "v" 5;
"a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "g" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "g" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "g" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "g" "u" "v" 4; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
"a" "u" 5; "b" "i" "n" 5; "c" "b" "q" 5; "d" "s" 8; "e" "v" "y" 5;
