none
none
none
none
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"a" "y" 1; "b" "j" 1; "d" "t" 1;
"a" "y" 1; "b" "j" 1; "d" "t" 1;
"a" "y" 1; "b" "j" 1; "d" "t" 1;
"a" "y" 1; "b" "j" 1; "d" "t" 1;
"a" "y" 1; "b" "j" 1; "d" "t" 1;
"a" "y" 1; "b" "j" "z" 1; "d" "t" 1;
"a" "y" 1; "b" "j" "z" 1; "d" "i" "t" 1; "e" "q" 1;
"a" "y" 1; "b" "j" "z" 1; "d" "i" "t" 1; "e" "q" 1;
"a" "y" 1; "b" "j" "z" 1; "d" "i" "t" 1; "e" "q" 1;
"a" "y" 1; "b" "j" "z" 1; "d" "i" "t" 1; "e" "q" 1;
"a" "y" 1; "b" "j" "z" 1; "d" "i" "t" 1; "e" "q" 1;
"a" "y" 1; "b" "j" "z" 1; "d" "i" "t" 1; "e" "q" 1;
"a" "y" 1; "b" "j" "z" 1; "d" "i" "t" 1; "e" "q" 1;
"a" "t" "y" 1; "b" "j" "z" 1; "d" "i" "t" 1; "e" "q" 1;
"a" "x" 5; "b" "m" 5; "c" "o" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "e" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "d" "n" "p" 4;
"a" "t" "x" 5; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 5;
"a" "t" "x" 5; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 5;
"a" "t" "x" 5; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" "t" 5; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" 6; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "e" "o" "t" "w" 4; "d" "s" 7; "e" "p" 6;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "p" 5;
"a" "t" 6; "b" "m" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "h" "s" 7; "e" "d" "p" 5;
"a" "t" 6; "b" "m" "r" 5; "c" "w" 5; "d" "h" "s" 7; "e" "d" "p" 5;
