none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "r" 1; "e" "d" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "t" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "t" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "t" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "k" "t" "x" 1;
"b" "h" 1; "d" "h" "r" 1; "e" "d" "k" "t" "x" 1;
"b" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" "y" 1; "d" "h" "r" 1; "e" "d" "k" "m" "t" "x" 1;
"b" "f" "h" "k" 1; "c" "h" "y" 1; "d" "r" 2; "e" "d" "k" "m" "t" "x" 1;
"b" "c" "f" "h" "k" 1; "c" "h" "y" 1; "d" "r" 2; "e" "d" "k" "m" "t" "x" 1;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "d" "k" "m" "t" "x" 1;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "g" "h" "l" "s" "y" 1; "d" "r" 2; "e" "m" "t" 2;
"b" "h" 2; "c" "s" 2; "d" "r" 2; "e" "m" "t" 2;
"a" "b" 5; "b" "b" "e" "f" "h" "o" 3; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "h" "o" 3; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "h" "o" "s" 3; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "h" "o" "s" 3; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "h" "o" "s" 3; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "h" "o" "s" 3; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "h" "n" "o" "s" 3; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" 5; "b" "b" "e" "f" "h" "n" "o" "s" 3; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "b" "e" "f" "h" "n" "o" "s" 3; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 4; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" "p" 5;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "d" "r" 5; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "b" "u" 5; "b" "n" 5; "c" "h" "n" 4; "d" "r" 6; "e" "d" 6;
"a" "u" 6; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 6; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 6; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 6; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 6; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 6; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 6; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 6; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 6; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 7; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" "m" 6;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 7;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 7;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 7;
"a" "u" 8; "b" "h" "n" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 7;
"a" "u" 8; "b" "h" "n" "s" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 7;
"a" "u" 8; "b" "h" "n" "s" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 7;
"a" "u" 8; "b" "h" "n" "s" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 7;
"a" "u" 8; "b" "h" "n" "s" 5; "c" "n" 5; "d" "d" "r" 6; "e" "d" 7;
