none
none
none
none
none
none
none
none
none
none
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" 1;
"a" "l" "t" 1;
"a" "l" "t" 1;
"a" "l" "t" 1; "b" "x" 1;
"a" "l" "t" 1; "b" "x" 1;
"a" "l" "t" 1; "b" "x" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" "u" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" "u" 1;
"a" "l" "t" 1; "b" "x" 1; "c" "g" "u" 1;
"a" "e" "l" "t" 1; "b" "x" 1; "c" "g" "o" "u" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "e" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "e" "t" 1;
"a" "e" "l" "t" 1; "b" "i" "x" "z" 1; "c" "g" "o" "u" 1; "d" "e" "p" "t" 1;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" "z" 4; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "k" "n" "w" 4; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "s" "z" 4;
"a" "w" "y" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "s" "z" 4;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "s" "z" 4;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "s" "z" 4;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "s" "z" 4;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 6; "d" "n" 5; "e" "j" "s" "z" 4;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "t" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "t" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "t" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "t" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "t" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "t" "w" 4; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "d" "z" 5; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "n" "t" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 6; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" 5; "b" "z" 7; "c" "e" 7; "d" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" "y" 5; "b" "z" 7; "c" "e" 7; "d" "e" "f" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" "y" 5; "b" "z" 7; "c" "e" 7; "d" "e" "f" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" "y" 5; "b" "z" 7; "c" "e" 7; "d" "e" "f" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" "y" 5; "b" "z" 7; "c" "e" 7; "d" "e" "f" "k" "l" "n" "t" "w" 5; "e" "m" "y" 5;
"a" "c" "t" "y" 5; "b" "z" 7; "c" "e" 7; "d" "e" "f" "l" "n" "t" "w" 5; "e" "y" 5;
"a" "c" "t" "y" 5; "b" "z" 7; "c" "e" 7; "d" "e" "f" "l" "n" "t" "w" 5; "e" "y" 5;
"a" "c" "t" "y" 5; "b" "z" 7; "c" "e" 7; "d" "e" "f" "l" "n" "t" "w" 5; "e" "y" 5;
"a" "c" "t" "y" 5; "b" "z" 7; "c" "e" 7; "d" "e" "f" "l" "n" "t" "w" 5; "e" "y" 5;
"a" "c" "t" "y" 5; "b" "z" 7; "c" "e" 7; "d" "e" "f" "l" "n" "t" "w" 5; "e" "y" 5;
"a" "c" "t" "y" 5; "b" "z" 7; "c" "e" 7; "d" "e" "f" "l" "n" "t" "w" 5; "e" "y" 5;
