none
none
none
none
none
none
none
none
"e" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "c" "i" 1; "e" "e" "p" "r" 1;
"a" "d" 1; "b" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "d" 1; "b" "g" "q" "r" 1; "c" "i" "j" 1; "e" "e" 2;
"a" "g" "i" 4; "b" "g" "o" "r" 4; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "m" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "m" "r" "t" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "m" "r" "t" "y" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "m" "r" "t" "y" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "a" "i" "m" "r" "t" "y" 3; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "r" 5; "c" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "g" "o" "r" 5; "c" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "g" "o" "r" 5; "c" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "g" "o" "r" 5; "c" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" 4; "b" "g" "o" "r" 5; "c" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "g" "o" "q" "r" 5; "c" "a" "m" 4; "d" "b" "y" 4; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 4;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" "i" "w" 4; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" "m" 4; "d" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" 4; "d" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" 4; "d" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" 4; "d" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" 4; "d" "b" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" 4; "d" "b" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" 4; "d" "b" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 6; "c" "a" 4; "d" "b" "y" 5; "e" "q" 5;
"a" "g" 5; "b" "r" 7; "c" "a" 4; "d" "b" "y" 5; "e" "k" "q" 5;
"a" "g" "w" 5; "b" "r" 7; "c" "a" 4; "d" "b" "y" 5; "e" "k" "q" 5;
"a" "g" "w" 5; "b" "r" 7; "c" "a" 4; "d" "b" "y" 5; "e" "k" "q" 5;
"a" "g" "w" 5; "b" "r" 7; "c" "a" 4; "d" "b" "y" 5; "e" "k" "q" 5;
"a" "g" "w" 5; "b" "r" 7; "c" "a" 4; "d" "b" "y" 5; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" 4; "d" "b" "y" 5; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" 4; "d" "b" "y" 5; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" 4; "d" "b" "y" 5; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" "q" 5;
"a" "h" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 6; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "a" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "m" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "m" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "m" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "m" "y" 4; "d" "b" 7; "e" "k" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "m" "y" 4; "d" "b" 7; "e" "k" "q" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "i" "m" "y" 4; "d" "b" 7; "e" "k" "q" 6;
"a" "h" "w" 5; "b" "r" 7; "c" "a" "g" "i" "m" "y" 4; "d" "b" 7; "e" "k" "q" 6;
