none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "t" 1; "d" "g" 1;
"c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "e" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "e" "g" 1;
"b" "z" 1; "c" "e" "t" 1; "d" "e" "g" "v" 1;
"b" "w" "z" 1; "c" "e" "t" 1; "d" "e" "g" "v" 1;
"b" "w" "z" 1; "c" "e" "t" 1; "d" "e" "g" "v" 1;
"b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "e" "m" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" 1; "d" "e" "g" "v" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "v" "z" 1;
"a" "d" "e" "m" "u" "z" 1; "b" "w" "z" 1; "c" "e" "q" "t" "v" 1; "d" "e" "g" "v" "z" 1;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "g" "j" "p" "t" "w" 3; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "j" 4; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "j" 4; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "j" 4; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "j" 4; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "v" 3; "c" "j" 4; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "q" "v" 3; "c" "j" "p" 4; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "q" "v" 3; "c" "g" "j" "p" 4; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "q" "v" 3; "c" "p" 5; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "q" "v" 3; "c" "p" 5; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "q" "v" 3; "c" "p" 5; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "q" "v" 3; "c" "p" 5; "d" "l" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "q" "v" 3; "c" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "q" "v" 3; "c" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 4; "b" "g" "i" "q" "v" 3; "c" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" "p" 4; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" "p" 4; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "y" 3; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "s" "y" 3; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" 3; "c" "g" "p" 5; "d" "l" "m" "q" "s" "y" 3; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" "y" 3; "c" "g" "p" 5; "d" "m" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" "y" 3; "c" "g" "p" 5; "d" "m" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" "y" 3; "c" "g" "p" 5; "d" "m" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" "y" 3; "c" "g" "p" 5; "d" "m" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" "y" 3; "c" "g" "p" 5; "d" "m" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" "y" 3; "c" "g" "p" 5; "d" "m" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "g" "i" "q" "v" "y" 3; "c" "g" "p" 5; "d" "m" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "m" "y" 4;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "y" 5;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "y" 5;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "y" 5;
"a" "d" 5; "b" "q" 4; "c" "g" "p" 5; "d" "m" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" 4; "c" "g" "p" 5; "d" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" 4; "c" "g" "p" 5; "d" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" 4; "c" "g" "p" 5; "d" "j" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "j" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "j" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "j" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" "j" "p" 4; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" 5; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" 5; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" 5; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" 5; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" 5; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" 5; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "y" 5;
"a" "d" 6; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "y" 5;
"a" "d" "p" 5; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "q" "s" "y" 4; "c" "g" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" "p" 5; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
"a" "d" 6; "b" "d" "g" "k" "q" "s" "y" 4; "c" "g" "j" "p" 5; "d" "e" 6; "e" "m" "u" "y" 5;
