none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"c" "i" 1; "e" "z" 1;
"b" "d" 1; "c" "i" 1; "e" "n" "z" 1;
"b" "d" 1; "c" "i" 1; "e" "n" "z" 1;
"b" "d" 1; "c" "i" 1; "d" "h" 1; "e" "n" "z" 1;
"b" "d" 1; "c" "i" 1; "d" "h" 1; "e" "n" "z" 1;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "w" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "w" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "w" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "w" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "w" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "w" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "a" "c" "d" "f" "g" "h" "k" "l" "p" "v" "x" 2; "c" "i" "u" 3; "d" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" 3; "b" "d" 3; "c" "i" "u" 3; "d" "f" "i" "k" "w" 3; "e" "z" 4;
"a" "b" "n" "q" "r" "y" 3; "b" "a" "d" 3; "c" "i" "u" 3; "d" "w" 4; "e" "z" 4;
"a" "b" "n" "q" "r" "y" 3; "b" "a" "d" 3; "c" "i" "u" 3; "d" "w" 4; "e" "z" 4;
"a" "b" "n" "q" "r" "y" 3; "b" "a" "d" "w" 3; "c" "i" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "n" "q" "r" "y" 3; "b" "a" "d" "w" 3; "c" "i" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "n" "q" "r" "y" 3; "b" "a" 4; "c" "i" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "n" "q" "r" "y" 3; "b" "a" 4; "c" "i" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "n" "q" "r" "y" 3; "b" "a" 4; "c" "i" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "n" "q" "r" "y" 3; "b" "a" 4; "c" "i" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "n" "q" "r" "y" 3; "b" "a" 4; "c" "i" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "n" "q" "r" "y" 3; "b" "a" 4; "c" "h" "i" "o" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "w" 4; "e" "k" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" 4; "c" "c" "h" "i" "o" "u" 3; "d" "j" "l" "w" 4; "e" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" 4; "c" "u" 4; "d" "j" "l" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" 4; "c" "u" 4; "d" "j" "l" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" "z" 4; "c" "u" 4; "d" "j" "l" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "b" "j" "m" "n" "q" "r" "y" 3; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" "z" 4;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" 5;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" 5;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" 5;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" 5;
"a" "j" 4; "b" "a" "c" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" "u" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "y" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "y" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "y" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "y" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 4; "b" "a" "c" "f" "g" "k" "y" "z" 4; "c" "o" 4; "d" "j" "l" "o" "w" 4; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "a" "c" "f" "g" "k" "y" "z" 4; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "a" "c" "f" "g" "k" "y" "z" 4; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "a" "e" "k" "t" "x" 5;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "z" 5; "c" "o" 5; "d" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "j" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "j" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "j" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "j" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "j" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "j" "o" "w" 5; "e" "e" 6;
"a" "j" 5; "b" "f" "k" "z" 5; "c" "o" 5; "d" "j" "o" "w" 5; "e" "e" 6;
