none
none
none
none
none
none
none
none
none
none
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"c" "q" 1;
"b" "q" 1; "c" "q" 1;
"b" "q" 1; "c" "q" 1; "e" "v" 1;
"b" "q" 1; "c" "q" 1; "e" "v" 1;
"b" "q" 1; "c" "q" 1; "e" "v" 1;
"b" "q" 1; "c" "q" "z" 1; "e" "v" 1;
"b" "q" 1; "c" "q" "z" 1; "e" "v" 1;
"b" "q" 1; "c" "q" "z" 1; "d" "f" 1; "e" "v" 1;
"b" "q" 1; "c" "q" "z" 1; "d" "f" 1; "e" "v" 1;
"b" "q" 1; "c" "q" "z" 1; "d" "f" 1; "e" "v" 1;
"b" "q" 1; "c" "q" "z" 1; "d" "f" 1; "e" "v" 1;
"b" "q" 1; "c" "q" "z" 1; "d" "f" 1; "e" "v" 1;
"a" "k" "m" "o" 4; "b" "i" 3; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 3; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 3; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 3; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "b" "f" "g" "i" "k" "p" "r" 3; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "k" "m" 5; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "f" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "f" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "f" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "f" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "f" "g" 4; "e" "a" "e" "g" "m" "p" "y" "z" 3;
"a" "m" 6; "b" "i" 4; "c" "b" 4; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "b" "p" 4; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "b" "p" 4; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "b" "p" 4; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "f" 4; "e" "a" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "f" "g" 4; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "g" 5; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "g" 5; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "g" 5; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "g" 5; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "g" 5; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "g" 5; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "g" 5; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "g" 5; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" 4; "c" "p" 5; "d" "g" 5; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "p" 5; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "p" 5; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "p" 5; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "p" 5; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "p" 5; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "p" 5; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "p" 5; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "p" 5; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "p" 5; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "p" 5; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "w" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "w" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "w" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "w" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "w" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "w" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "w" "z" 4;
"a" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "w" "y" "z" 4;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "w" "y" "z" 4;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "a" "j" "w" "y" "z" 4;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" 6; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
"a" "k" "m" 6; "b" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
"a" "k" "m" 6; "b" "e" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
"a" "k" "m" 6; "b" "e" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
"a" "k" "m" 6; "b" "e" "g" "i" "q" 4; "c" "b" "p" "q" "z" 4; "d" "g" "p" 5; "e" "w" 5;
