none
none
none
none
none
none
none
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1;
"a" "h" 1; "c" "q" 1;
"a" "h" 1; "c" "q" 1;
"a" "h" 1; "c" "q" 1;
"a" "h" 1; "c" "q" 1;
"a" "h" 1; "c" "q" 1;
"a" "h" 1; "b" "d" 1; "c" "q" 1;
"a" "h" 1; "b" "d" 1; "c" "q" 1;
"a" "h" 1; "b" "d" 1; "c" "q" 1;
"a" "h" 1; "b" "d" 1; "c" "q" 1;
"a" "h" 1; "b" "d" 1; "c" "q" 1;
"a" "h" 1; "b" "d" 1; "c" "q" 1;
"a" "h" "o" 1; "b" "d" "x" 1; "c" "q" 1;
"a" "h" "o" 1; "b" "d" "x" 1; "c" "n" "q" 1;
"a" "h" "o" 1; "b" "d" "x" 1; "c" "n" "q" 1;
"a" "h" "o" 1; "b" "d" "x" 1; "c" "n" "q" 1;
"a" "h" "o" 1; "b" "d" "x" 1; "c" "n" "q" 1;
"a" "h" "o" 1; "b" "d" "x" 1; "c" "n" "q" 1;
"a" "h" "o" 1; "b" "d" "x" 1; "c" "n" "q" 1;
"a" "h" "o" 1; "b" "d" "x" 1; "c" "n" "q" 1;
"a" "h" "o" 1; "b" "d" "x" 1; "c" "n" "q" 1;
"a" "h" "o" 1; "b" "a" "d" "x" 1; "c" "n" "q" "z" 1;
"a" "h" "o" 1; "b" "a" "d" "x" 1; "c" "n" "q" "z" 1;
"a" "h" "o" 1; "b" "a" "d" "x" 1; "c" "n" "q" "z" 1;
"a" "h" "o" 1; "b" "a" "d" "x" 1; "c" "n" "q" "z" 1;
"a" "h" "o" 1; "b" "a" "d" "x" 1; "c" "n" "q" "z" 1;
"a" "h" "o" 1; "b" "a" "d" "x" 1; "c" "n" "q" "z" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "n" "q" "z" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "n" "q" "z" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "n" "q" "z" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "n" "q" "z" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "e" "n" "q" "z" 1; "e" "y" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "e" "i" "n" "q" "z" 1; "e" "y" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "e" "i" "n" "q" "z" 1; "e" "j" "q" "y" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "e" "i" "m" "n" "q" "z" 1; "e" "a" "j" "q" "y" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "e" "i" "m" "n" "q" "z" 1; "e" "a" "j" "q" "y" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "e" "i" "m" "n" "q" "z" 1; "e" "a" "j" "q" "y" 1;
"a" "h" "o" "q" 1; "b" "a" "d" "x" 1; "c" "e" "i" "m" "n" "q" "z" 1; "e" "a" 2;
"a" "n" "q" "y" 3; "b" "d" "h" 3; "c" "h" "q" "x" 3; "d" "j" "t" "v" 2; "e" "j" 4;
"a" "n" "q" "y" 3; "b" "d" "h" 3; "c" "h" "q" "x" 3; "d" "j" "t" "v" 2; "e" "j" 4;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "h" "q" "x" 3; "d" "j" "t" "v" 2; "e" "j" 4;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "h" "q" "x" 3; "d" "j" "t" "v" 2; "e" "j" 4;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "h" "q" "x" 3; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "h" "q" "x" 3; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "h" "q" "x" 3; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "h" "q" "x" 3; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "q" 4; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "q" 4; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "q" 4; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "q" 4; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "q" 4; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "q" 4; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "i" "n" "q" "y" 3; "b" "d" "h" 3; "c" "q" 4; "d" "j" "t" "v" 2; "e" "j" 5;
"a" "a" "i" "q" "y" 3; "b" "d" "h" 3; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" "i" "q" "y" 3; "b" "d" "h" 3; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" "i" "q" "y" 3; "b" "d" "h" "w" 3; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" "i" "q" "y" 3; "b" "d" "h" "w" 3; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "d" "h" "l" "w" 3; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "q" 4; "d" "d" "j" "l" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "o" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "o" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "f" "o" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "d" "f" "o" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "d" "f" "o" "q" 4; "d" "d" "j" "l" "m" "n" "t" "v" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "d" "f" "o" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" 4; "b" "w" 5; "c" "d" "f" "o" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "i" "q" 4; "b" "w" 5; "c" "d" "f" "o" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "i" "q" 4; "b" "w" 5; "c" "d" "f" "o" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "i" "q" 4; "b" "w" 5; "c" "d" "f" "o" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" 4; "d" "a" "d" "j" "l" "m" "n" "t" "v" "x" 2; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "a" "b" "i" "o" "q" 4; "b" "w" 5; "c" "d" "f" "q" "u" 4; "d" "l" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 5; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" "f" "n" "o" "q" "u" 4; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" 5; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" 5; "d" "l" "n" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" "w" 6; "c" "d" "o" 5; "d" "l" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" "w" 6; "c" "o" 6; "d" "l" "m" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "n" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" "m" "v" 3; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" 4; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" 4; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "o" 6; "d" "l" 4; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "d" "o" 6; "d" "l" 4; "e" "j" 6;
"a" "i" 5; "b" "s" 7; "c" "d" "o" 6; "d" "l" 4; "e" "j" 6;
"a" "a" "i" 5; "b" "s" 7; "c" "d" "o" 6; "d" "l" 4; "e" "j" 6;
