none
none
none
none
none
none
"c" "c" 1;
"c" "c" 1;
"c" "c" 1;
"c" "c" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" 1;
"c" "c" "r" 1; "d" "k" "s" 1;
"c" "c" "r" 1; "d" "k" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 1; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "o" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "r" 1; "b" "s" 2; "c" "c" "i" "o" "p" "r" "y" 1; "d" "k" "q" "s" 1;
"a" "f" "i" "r" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "f" "i" "r" "x" 1; "b" "s" 2; "c" "i" 2; "d" "k" "l" "o" "q" "s" 1;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" "z" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" "z" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" "z" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" "z" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" "z" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" "z" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "x" 3;
"a" "b" "r" "z" 2; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "p" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "q" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "q" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "q" "x" 3;
"a" "b" 3; "b" "g" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "s" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "b" "f" "j" "o" "r" "w" "x" "y" 3; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "t" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "t" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "t" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "t" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "t" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "t" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "t" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "f" "g" "j" "p" "q" "t" "x" 3;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "m" "q" "z" 3; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" 4; "c" "s" "z" 4; "d" "j" 4; "e" "t" 4;
"a" "b" "r" 4; "b" "g" "i" 4; "c" "s" "z" 4; "d" "j" 4; "e" "q" "t" 4;
"a" "b" "r" 4; "b" "g" "i" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "b" "r" 4; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "s" "z" 4; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" "j" "r" 4; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
"a" "b" "r" 5; "b" "g" "i" "k" 4; "c" "z" 5; "d" "b" 5; "e" "h" "i" "q" "t" 4;
