none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "x" 1;
"c" "x" 1;
"c" "x" 1;
"c" "x" 1;
"c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "c" "x" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "p" 1; "b" "k" 1; "c" "m" "o" "x" 1; "d" "e" "s" "v" 1;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 4; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "e" "g" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "c" "e" "g" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "c" "e" "g" "i" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "c" "e" "g" "i" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "c" "e" "g" "i" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "c" "e" "g" "i" "n" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "c" "e" "g" "i" "n" "r" 3; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 4; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 4; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 4; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "e" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "e" "i" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "e" "i" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "e" "i" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "e" "i" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "e" "i" "m" "q" "x" 3;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 4; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "g" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "g" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "g" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "g" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "g" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "g" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "g" "n" "r" 5; "e" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "m" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "m" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "m" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "m" "o" "x" 4;
"a" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "m" "o" "x" 4;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "m" "o" "x" 4;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "m" "o" "x" 4;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "m" "o" "q" "x" 4;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "m" "o" "q" "x" 4;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "m" "o" "q" "x" 4;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
"a" "c" "n" 5; "b" "d" "k" "u" 5; "c" "b" "k" 5; "d" "n" 6; "e" "v" 5;
