none
none
none
none
none
none
none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1;
"b" "h" 1;
"b" "h" 1;
"b" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" 1; "e" "y" 1;
"b" "f" "h" "k" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" 1; "b" "f" "h" "k" 1; "d" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "y" 1;
"a" "b" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "z" 1; "b" "d" "f" "h" "k" "l" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "f" "j" "z" 1; "b" "d" "f" "h" "k" "l" 1; "d" "c" "x" 1; "e" "b" "f" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "d" "c" "p" "x" 1; "e" "b" "f" "y" 1;
"a" "b" 2; "b" "d" "f" "h" "k" "l" 1; "d" "c" "p" "x" 1; "e" "b" "f" "y" 1;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "a" "g" "i" "z" 3; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" 4; "b" "k" 4; "c" "i" 4; "d" "c" 5; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 6; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" 3;
"a" "b" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "b" "c" "k" "u" "x" 4; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "p" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "p" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "p" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "p" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "f" "g" "j" "k" "p" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "c" "f" "g" "j" "k" "p" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "c" "f" "g" "j" "k" "p" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "c" "f" "g" "j" "k" "p" "q" "r" 3;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "g" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "g" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "g" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "g" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" 4; "d" "c" 7; "e" "g" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 5; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 6; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 6; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 6; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "g" "j" 4;
"a" "x" 6; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "c" "g" "j" 4;
"a" "x" 6; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "c" "g" "j" 4;
"a" "x" 6; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "c" "g" "j" 4;
"a" "x" 6; "b" "h" "k" 4; "c" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "g" "i" "j" "k" 4; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "a" "h" "j" "k" 4; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" 5; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" 5; "c" "i" 5; "d" "c" 7; "e" "c" 5;
"a" "x" 6; "b" "h" 5; "c" "i" 5; "d" "c" 7; "e" "c" 5;
