none
none
none
none
none
none
none
none
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"d" "a" 1;
"c" "w" 1; "d" "a" 1;
"c" "w" 1; "d" "a" 1;
"c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"b" "y" 1; "c" "w" 1; "d" "a" 1;
"a" "x" 1; "b" "y" 1; "c" "w" 1; "d" "a" 1;
"a" "x" 1; "b" "y" 1; "c" "w" 1; "d" "a" 1;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" "j" "t" 4; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" 5; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" 5; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" 5; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 4; "c" "f" 5; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "o" 5; "e" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "t" "x" 4; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "i" "o" 5; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 5; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
"a" "v" "x" 6; "b" "e" "r" 5; "c" "f" "j" "v" 5; "d" "o" 6; "e" "b" "c" "e" "w" 4;
