none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"c" "r" 1; "d" "v" 1;
"c" "r" 1; "d" "v" 1;
"c" "f" "r" 1; "d" "v" 1;
"c" "f" "r" 1; "d" "v" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"c" "f" "r" 1; "d" "v" 1; "e" "p" 1;
"b" "g" 1; "c" "f" "r" 1; "d" "v" 1; "e" "b" "p" 1;
"b" "g" 1; "c" "f" "r" 1; "d" "v" 1; "e" "b" "m" "p" 1;
"b" "g" "h" 1; "c" "f" "r" "z" 1; "d" "v" 1; "e" "b" "m" "p" 1;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "l" "x" 5; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "l" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "l" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "l" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "l" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" 4; "e" "b" "h" "l" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 6; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "c" "f" "g" 5; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "s" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "s" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "s" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "s" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "g" "s" "z" 5; "d" "d" "f" "g" "n" 4; "e" "b" "h" "l" "w" "z" 4;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "d" "f" "g" "n" 4; "e" "h" 5;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "d" "f" "g" "n" 4; "e" "h" 5;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "n" 5; "e" "h" 5;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "n" 5; "e" "h" 5;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "n" 5; "e" "h" 5;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "n" 5; "e" "h" 5;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "n" 5; "e" "h" 5;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "n" 5; "e" "h" 5;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "n" 5; "e" "h" 5;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "n" 5; "e" "h" 5;
"a" "f" "g" 6; "b" "x" 7; "c" "b" "g" "s" "z" 5; "d" "n" 5; "e" "h" 5;
"a" "f" "g" "t" 6; "b" "x" 7; "c" "b" "g" "n" "s" "z" 5; "d" "d" "n" 5; "e" "h" 5;
"a" "f" "g" "t" 6; "b" "x" 7; "c" "b" "g" "n" "s" "z" 5; "d" "d" "n" 5; "e" "h" 5;
"a" "f" "g" "t" 6; "b" "x" 7; "c" "b" "g" "n" "s" "z" 5; "d" "d" "n" 5; "e" "h" "w" 5;
"a" "f" "g" "t" 6; "b" "x" 7; "c" "b" "g" "n" "s" "z" 5; "d" "d" "n" 5; "e" "h" "w" 5;
