none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1;
"c" "p" 1; "e" "t" 1;
"c" "p" 1; "e" "t" 1;
"c" "p" 1; "e" "t" 1;
"c" "p" 1; "e" "t" 1;
"c" "p" 1; "e" "t" 1;
"c" "p" "u" 1; "e" "t" "z" 1;
"c" "p" "u" 1; "e" "t" "z" 1;
"c" "p" "u" 1; "e" "t" "z" 1;
"c" "p" "u" 1; "e" "n" "t" "z" 1;
"c" "p" "u" 1; "e" "n" "t" "z" 1;
"c" "p" "u" 1; "e" "n" "t" "z" 1;
"c" "p" "s" "u" 1; "e" "n" "t" "z" 1;
"c" "p" "s" "u" 1; "e" "n" "t" "z" 1;
"c" "p" "s" "u" 1; "e" "n" "t" "z" 1;
"c" "a" "p" "s" "u" "v" 1; "e" "n" "t" "z" 1;
"c" "a" "p" "s" "u" "v" 1; "e" "n" "t" "z" 1;
"c" "a" "p" "s" "u" "v" 1; "e" "n" "t" "z" 1;
"c" "a" "p" "s" "u" "v" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "k" 1; "c" "a" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "k" 1; "c" "a" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "k" 1; "c" "a" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "k" 1; "c" "a" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "c" "k" 1; "c" "a" "n" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"b" "c" "k" 1; "c" "a" "n" "p" "s" "u" "v" 1; "d" "p" "t" "u" 1; "e" "a" "n" "t" "u" "z" 1;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 5; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "w" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "w" "z" 5;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "w" "z" 6;
"a" "w" 5; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "w" "z" 6;
"a" "w" 6; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "w" "z" 6;
"a" "w" 6; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "w" "z" 6;
"a" "w" 6; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "w" "z" 6;
"a" "w" 6; "b" "k" 4; "c" "n" 6; "d" "s" "y" 4; "e" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "s" 5; "e" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "s" 5; "e" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 6; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "k" "s" 4; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "m" "p" "w" "z" 6;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
"a" "w" 7; "b" "s" 5; "c" "n" 6; "d" "f" "s" 5; "e" "w" 7;
