none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"a" "b" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "b" "c" 1; "b" "b" 1; "d" "s" 1; "e" "s" 1;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" "o" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "l" 4; "c" "v" "y" 7; "d" "c" "o" "q" "s" "t" "u" 4; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "v" "y" 7; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" 4; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" "m" 4; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" "m" 4; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "a" "c" "f" "l" "m" 4; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" "n" 5;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" 6;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" 6;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" 6;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" 6;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" 6;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" 6;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" 6;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" 6;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" 6;
"a" "c" 7; "b" "l" 6; "c" "y" 8; "d" "c" "o" 5; "e" "l" 6;
