none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"a" "g" 1; "b" "j" "w" 1; "d" "b" 1; "e" "s" 2;
"a" "g" 1; "b" "j" "s" "w" 1; "d" "b" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "x" "y" 1; "e" "s" 2;
"a" "g" "j" 1; "b" "j" "s" "w" 1; "d" "b" "x" "y" 1; "e" "s" 2;
"a" "v" 5; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "h" "j" "n" "s" "u" "x" 3; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 4;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "x" 4; "c" "x" 5; "d" "c" "x" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "x" 4; "c" "x" 5; "d" "c" "x" "y" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "x" 4; "c" "x" 5; "d" "c" "x" "y" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "x" 4; "c" "x" 5; "d" "c" "x" "y" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "x" 4; "c" "x" 5; "d" "c" "x" "y" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "x" 4; "c" "x" 5; "d" "c" "x" "y" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "x" 4; "c" "x" 5; "d" "c" "x" "y" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" "x" "y" 4; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" "j" "n" "w" "x" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" "j" "n" "w" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" "j" "n" "w" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" "j" "n" "w" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" "j" "n" "w" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" "j" "n" "w" 4; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 5;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "v" 5; "b" "b" 5; "c" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "s" "v" 5; "b" "b" 5; "c" "p" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "s" "v" 5; "b" "b" 5; "c" "p" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "s" "v" 5; "b" "b" 5; "c" "p" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "s" "v" 5; "b" "b" 5; "c" "p" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "s" "v" 5; "b" "b" 5; "c" "p" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "s" "v" 5; "b" "b" "w" 5; "c" "p" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "s" "v" 5; "b" "b" "w" 5; "c" "p" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" "s" "v" 5; "b" "b" "w" 5; "c" "p" "x" 5; "d" "c" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "w" 5; "c" "p" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "w" 5; "c" "p" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "w" 5; "c" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "w" 5; "c" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "w" 5; "c" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "q" "w" 5; "c" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "q" "w" 5; "c" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "q" "w" 5; "c" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "q" "w" 5; "c" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "q" "w" 5; "c" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "q" "w" 5; "c" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "q" "w" 5; "c" "p" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "q" "w" 5; "c" "p" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "q" "w" 5; "c" "p" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
"a" "g" 6; "b" "b" "q" "w" 5; "c" "p" "x" 5; "d" "c" "m" "x" 5; "e" "l" 6;
