none
none
none
none
none
none
none
none
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"c" "g" 1;
"a" "c" 1; "c" "g" 1; "e" "b" 1;
"a" "c" 1; "c" "g" 1; "e" "b" 1;
"a" "c" 1; "c" "g" 1; "e" "b" 1;
"a" "c" 1; "c" "g" 1; "e" "b" 1;
"a" "c" 1; "c" "g" 1; "e" "b" 1;
"a" "c" 1; "c" "g" 1; "e" "b" 1;
"a" "c" 1; "c" "g" 1; "e" "b" 1;
"a" "c" 1; "c" "g" 1; "e" "b" 1;
"a" "c" 1; "c" "g" 1; "e" "b" 1;
"a" "c" 1; "c" "g" 1; "e" "b" 2;
"a" "c" 1; "c" "g" 1; "e" "b" 2;
"a" "c" 1; "c" "g" 1; "e" "b" 2;
"a" "c" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" "l" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" "l" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" "l" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" "l" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" "l" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" "l" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" "l" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" "l" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" "l" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "c" "l" 1; "b" "y" 1; "c" "b" "g" 1; "e" "b" 2;
"a" "i" "m" "y" 3; "b" "f" "h" 3; "c" "n" 6; "d" "i" "n" "u" 3; "e" "b" "t" "w" "y" 3;
"a" "i" "m" "y" 3; "b" "f" "h" 3; "c" "n" 6; "d" "i" "n" "u" 3; "e" "b" "t" "w" "y" 3;
"a" "i" "m" "y" 3; "b" "f" "h" 3; "c" "n" 6; "d" "i" "n" "u" 3; "e" "b" "t" "w" "y" 3;
"a" "i" "m" "y" 3; "b" "f" "h" 3; "c" "n" 6; "d" "i" "n" "u" 3; "e" "b" "t" "w" "y" 3;
"a" "i" "m" "y" 3; "b" "f" "h" 3; "c" "n" 6; "d" "i" 4; "e" "b" "t" "w" "y" 3;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "t" 4;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "i" "m" "y" 3; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" "u" 4; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" 7; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" 7; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 5; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 5; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" "u" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" "u" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" "u" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" "u" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" "u" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" "u" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" "u" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" "u" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" "u" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 5; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "m" 4; "b" "f" "h" "n" 4; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" 4; "b" "f" "h" "n" 4; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" 4; "b" "n" 5; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" 4; "b" "n" 5; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" 4; "b" "n" 5; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" 4; "b" "n" 5; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" 4; "b" "n" 5; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" 4; "b" "n" 5; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" "n" "t" 6; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "o" "t" 4;
"a" "i" "m" "n" 4; "b" "n" 5; "c" "b" 7; "d" "i" 6; "e" "b" "i" "o" "t" 4;
