none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "h" 1;
"b" "h" 1; "d" "h" 1;
"b" "h" 1; "d" "h" 1;
"b" "h" 1; "c" "b" 1; "d" "h" "m" 1;
"b" "h" 1; "c" "b" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "t" 1; "b" "h" 1; "c" "b" "v" 1; "d" "h" "m" "s" 1;
"a" "b" "e" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" "u" 4; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" 3;
"a" "b" "e" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "m" "p" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "m" "p" "w" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "m" "p" "w" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "m" "p" "v" "w" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "p" "s" "t" "z" 3;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" "t" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" "t" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" "t" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" "t" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" "t" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" "t" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" "e" "j" "k" "p" "t" 3; "b" "a" "r" 5; "c" "k" "y" 5; "d" "a" "m" "p" "v" "w" 4; "e" "z" 4;
"a" "b" 4; "b" "a" "r" 5; "c" "k" "y" 5; "d" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" 5; "c" "k" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" 5; "c" "k" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" 5; "c" "k" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" 5; "c" "k" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "h" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "h" "k" "s" "y" 5; "d" "m" "p" 5; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "a" "r" "t" 5; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
"a" "b" 4; "b" "r" 6; "c" "d" "h" "k" "s" "y" 5; "d" "m" 6; "e" "s" "t" "u" "z" 4;
