none
none
none
none
"c" "n" 1;
"c" "n" 1;
"c" "n" 1; "e" "z" 1;
"c" "n" 1; "e" "z" 1;
"c" "n" 1; "e" "z" 1;
"c" "n" 1; "e" "z" 2;
"c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" 1; "c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" 1; "c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" 1; "c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" "z" 1; "c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" "z" 1; "c" "n" 1; "d" "c" "w" 1; "e" "z" 2;
"a" "i" "z" 1; "c" "n" 1; "d" "c" "w" 1; "e" "i" "z" 2;
"a" "i" "z" 1; "c" "n" 1; "d" "c" "w" 1; "e" "i" "z" 2;
"a" "i" "n" "z" 1; "c" "n" 1; "d" "c" "w" 1; "e" "i" "z" 2;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" "x" 4; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" 3;
"a" "n" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 4; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "n" "x" 5; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 6; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "g" "j" "w" "z" 3;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "o" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "v" 4; "c" "z" 5; "d" "m" "y" 4; "e" "j" 4;
"a" "x" 7; "b" "a" "h" "v" 4; "c" "z" 5; "d" "m" 5; "e" "j" 4;
"a" "x" 7; "b" "a" "h" "v" 4; "c" "z" 5; "d" "m" 5; "e" "j" 4;
"a" "x" 7; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" "w" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" "w" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" "w" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" "w" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "j" "w" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 7; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "c" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
"a" "x" 8; "b" "a" "h" "n" "v" 4; "c" "z" 6; "d" "m" 5; "e" "f" "j" "w" 4;
