none
none
none
none
none
none
none
none
none
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"e" "s" 1;
"d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" "r" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" "r" 1; "e" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" "r" 1; "e" "l" "s" 1;
"a" "f" 1; "b" "x" 1; "d" "o" "r" 1; "e" "l" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" 1; "e" "l" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" 1; "e" "l" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" 1; "e" "l" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" 1; "b" "x" 2; "d" "o" "r" "t" 1; "e" "l" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 2; "d" "o" "r" "t" "w" 1; "e" "l" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 2; "d" "o" "r" "t" "w" 1; "e" "l" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 2; "d" "o" "r" "t" "w" 1; "e" "l" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 2; "d" "o" "r" "t" "w" 1; "e" "l" "q" "s" 1;
"a" "f" "g" 1; "b" "x" 2; "d" "o" "r" "t" "w" 1; "e" "l" "m" "q" "s" 1;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 4; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "h" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "h" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "h" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "h" "j" "l" "m" "v" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "h" "j" "l" "m" "v" "w" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "h" "j" "l" "m" "v" "w" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "h" "j" "l" "m" "v" "w" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "h" "j" "l" "m" "v" "w" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "h" "j" "l" "m" "v" "w" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "d" "h" "j" "l" "m" "v" "w" "z" 3; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" "x" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" "m" "q" 4;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "j" "l" 4; "e" "d" 5;
"a" "g" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "j" "l" 4; "e" "d" 5;
"a" "g" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "j" "l" 4; "e" "d" 5;
"a" "g" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "j" "l" 4; "e" "d" 5;
"a" "g" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" 5; "d" "j" "l" 4; "e" "d" 5;
"a" "o" 4; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "y" 3; "b" "c" "w" 4; "c" "c" "m" 5; "d" "d" "j" "l" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "r" "y" 3; "b" "w" 4; "c" "c" "h" "m" 5; "d" "d" "j" "l" "q" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "r" "y" 3; "b" "w" 4; "c" "c" "h" "m" 5; "d" "d" "j" "l" "q" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "r" "y" 3; "b" "w" 4; "c" "c" "h" "m" 5; "d" "d" "j" "l" "q" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "r" "y" 3; "b" "w" 4; "c" "c" "h" "m" 5; "d" "d" "j" "l" "q" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "r" "y" 3; "b" "w" 4; "c" "c" "h" "m" 5; "d" "d" "j" "l" "q" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "r" "y" 3; "b" "w" 4; "c" "c" "h" "m" 5; "d" "d" "j" "l" "q" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "r" "y" 3; "b" "w" 4; "c" "c" "h" "m" 5; "d" "d" "j" "l" "q" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "r" "y" 3; "b" "w" 4; "c" "c" "h" "m" 5; "d" "d" "j" "l" "q" 4; "e" "d" 5;
"a" "g" "l" "n" "o" "r" "y" 3; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" 4; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" 4; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" 4; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" 4; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" "m" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" "m" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" "m" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" "m" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" "m" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" "m" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" "m" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" "m" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" "m" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 4; "c" "c" "m" 6; "d" "q" 5; "e" "d" 5;
"a" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" "q" 5;
"a" "g" "l" "r" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" "q" 5;
"a" "g" "l" "r" "y" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" "q" 5;
"a" "g" "l" "r" "y" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" "q" 5;
"a" "g" "l" "r" "y" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" "q" 5;
"a" "g" "l" "r" "y" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" "q" 5;
"a" "g" "l" "r" "y" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" "q" 5;
"a" "g" "l" "r" "y" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" "q" 5;
"a" "g" "l" "m" "r" "y" 4; "b" "w" 5; "c" "c" "m" 6; "d" "q" 5; "e" "d" "m" "q" 5;
