none
none
none
none
none
none
none
none
none
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" 1;
"b" "j" "k" 1; "c" "o" 1;
"b" "j" "k" 1; "c" "o" 1;
"b" "j" "k" 1; "c" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "k" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"b" "b" "j" "k" 1; "c" "c" "j" "o" 1; "d" "f" "k" "s" 1; "e" "k" "x" 1;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "b" "r" "s" 3; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "j" "m" "r" 3; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "r" 4; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "r" 4; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "r" 4; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "r" 4; "d" "r" 4; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "f" "j" "n" 4; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 5; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" "r" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" "r" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" "r" 5; "c" "b" "j" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" "r" 5; "c" "b" "j" "m" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" "r" 5; "c" "b" "j" "m" "r" 4; "d" "r" 6; "e" "x" 5;
"a" "w" 5; "b" "b" "j" "r" 5; "c" "b" "j" "m" "r" 4; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "b" "j" "r" 5; "c" "b" "j" "m" "r" 4; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "b" "j" "r" 5; "c" "b" "j" "m" "r" 4; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "b" "j" "r" 5; "c" "b" "j" "m" "r" 4; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "b" "j" "m" "r" 4; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "b" "j" "m" "r" 4; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "b" "j" "m" "r" 4; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" "r" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" "r" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" "r" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" "r" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" "r" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" "r" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
"a" "w" 5; "b" "j" "r" 6; "c" "r" 5; "d" "r" 6; "e" "f" "x" 5;
