"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"e" "k" 1;
"b" "p" 1; "c" "a" 1; "e" "k" 1;
"b" "p" 1; "c" "a" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "s" "t" 1; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "t" 2; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "u" "y" 1; "d" "t" 2; "e" "k" 1;
"b" "p" 1; "c" "a" "f" "s" "u" "y" 1; "d" "s" "t" 2; "e" "k" 1;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "n" "p" "z" 4; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" "g" "h" 3;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 5; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" "y" 5; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 4;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 6; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 5; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 5;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" "v" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" "h" 6;
"a" "p" 6; "b" "z" 7; "c" "e" 6; "d" "t" 5; "e" "c" "h" 6;
