none
none
none
none
none
none
none
none
none
none
none
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "v" 1;
"c" "o" "v" 1; "d" "g" "v" 1;
"c" "o" "u" "v" 1; "d" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"c" "o" "u" "v" 1; "d" "e" "g" "v" "y" 1; "e" "u" 1;
"b" "q" 1; "c" "o" "u" "v" 1; "d" "e" "g" "v" "w" "y" 1; "e" "o" "u" 1;
"b" "q" 1; "c" "o" "u" "v" 1; "d" "e" "g" "v" "w" "y" 1; "e" "o" "u" 1;
"b" "q" 1; "c" "o" "u" "v" 1; "d" "e" "g" "v" "w" "y" 1; "e" "o" "u" 1;
"b" "q" 1; "c" "c" "o" "u" "v" 1; "d" "e" "g" "v" "w" "y" 1; "e" "o" "u" 1;
"b" "q" 1; "c" "c" "o" "u" "v" 1; "d" "e" "g" "v" "w" "y" 1; "e" "o" "u" 1;
"a" "g" 4; "b" "e" "n" 4; "c" "b" "o" "u" "w" 3; "d" "g" 4; "e" "h" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" 3;
"a" "g" 4; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" "w" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" "w" 4; "e" "h" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" "w" 4; "e" "h" "s" "u" "x" 3;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "e" "l" "n" "o" 4; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "n" 5; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "n" 5; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "n" 5; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "n" 5; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "n" 5; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "n" 5; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" 3; "b" "n" 5; "c" "o" 4; "d" "w" 5; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" "z" 3; "b" "n" 5; "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" "z" 3; "b" "n" 5; "c" "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" "z" 3; "b" "n" 5; "c" "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" "z" 3; "b" "n" 5; "c" "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" "z" 3; "b" "n" 5; "c" "c" "o" 4; "d" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" "z" 3; "b" "n" 5; "c" "c" "o" 4; "d" "f" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" "z" 3; "b" "n" 5; "c" "c" "o" 4; "d" "f" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "o" "r" "t" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "f" "g" "w" 4; "e" "s" 4;
"a" "e" "g" "h" "o" "r" "t" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "f" "g" "w" 4; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "f" "g" "w" 4; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "f" "g" "w" 4; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "f" "g" "w" 4; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "f" "g" "w" 4; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "f" "g" "w" 4; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "m" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "m" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "m" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "m" "o" "r" "t" "u" "w" "z" 3; "b" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "m" "o" "r" "t" "u" "w" "z" 3; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "m" "o" "r" "t" "u" "w" "z" 3; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "m" "o" "r" "t" "u" "w" "z" 3; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "e" "g" "h" "m" "o" "r" "t" "u" "w" "z" 3; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "s" "x" 4;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "x" 5;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" "o" 4; "d" "g" "w" 5; "e" "x" 6;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" 5; "d" "g" "w" 5; "e" "x" 6;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" 5; "d" "g" "w" 5; "e" "x" 6;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" 5; "d" "g" "w" 5; "e" "x" 6;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" 5; "d" "g" "w" 5; "e" "x" 6;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" 5; "d" "g" "w" 5; "e" "x" 6;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" 5; "d" "g" "w" 5; "e" "x" 6;
"a" "z" 4; "b" "e" "n" "o" 5; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" "w" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" "w" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "w" "z" 4; "b" "o" 6; "c" "c" "w" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "a" "w" "z" 4; "b" "o" 6; "c" "c" "w" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "a" "w" "z" 4; "b" "o" 6; "c" "c" "w" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "a" "w" "z" 4; "b" "o" 6; "c" "w" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
"a" "a" "w" "z" 4; "b" "o" 6; "c" "w" 5; "d" "c" "e" "g" "w" 5; "e" "x" 6;
