none
none
none
none
none
none
none
none
none
none
none
none
"e" "n" 1;
"b" "l" 1; "e" "n" 1;
"b" "l" 1; "e" "n" 1;
"b" "l" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" "s" "y" "z" 1; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"b" "l" 2; "c" "p" 1; "d" "h" "q" 1; "e" "n" 1;
"a" "c" "g" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "h" "i" "q" 3; "e" "k" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "h" "i" "q" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "h" "i" "q" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "h" "i" "q" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "h" "i" "q" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "p" "v" 3; "d" "h" "i" "q" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "k" "l" "n" "w" 3;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "l" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "l" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "l" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "l" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" "p" "v" "x" 3; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "c" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "c" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "c" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "c" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "c" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "c" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "c" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "c" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "c" "h" "i" "q" "x" 3; "e" "l" "n" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "z" 3; "c" "d" 4; "d" "q" 4; "e" "l" "n" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "q" 4; "e" "l" "n" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "q" 4; "e" "l" "n" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "q" 4; "e" "l" "n" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "q" 4; "e" "l" "n" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "q" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "q" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" "s" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" "s" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" "s" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" "s" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" "s" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" "s" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" "s" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" "s" "x" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" "s" "x" 4; "e" "l" "n" "w" 4;
"a" "c" "s" 4; "b" "z" 4; "c" "d" 4; "d" "c" "q" "s" "x" 4; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "z" 4; "c" "d" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "z" 4; "c" "d" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "z" 4; "c" "d" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "z" 4; "c" "d" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "z" 4; "c" "d" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "z" 4; "c" "d" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "z" 4; "c" "d" "p" 4; "d" "s" 5; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "z" 4; "c" "d" "p" 4; "d" "s" 5; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "z" 4; "c" "d" "p" 4; "d" "s" 5; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "z" 4; "c" "d" "p" 4; "d" "s" 5; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "z" 4; "c" "d" "p" 4; "d" "s" 5; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "z" 4; "c" "d" "p" 4; "d" "s" 5; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "p" 4; "d" "s" 5; "e" "l" "n" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "p" 4; "d" "s" 5; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "g" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "d" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "y" "z" 4; "c" "f" "h" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 4;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "w" 5;
"a" "c" "g" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "w" 5;
"a" "c" "g" "i" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "w" 5;
"a" "c" "g" "i" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "w" 5;
"a" "c" "g" "i" "o" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "w" 5;
"a" "c" "g" "i" "o" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "w" 5;
"a" "c" "g" "i" "o" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "g" "i" "o" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "g" "i" "o" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "g" "i" "o" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "g" "i" "o" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "g" "i" "o" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "g" "i" "o" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "g" "i" "o" "s" 4; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "i" 5; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "i" 5; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "i" 5; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "i" 5; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "i" 5; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "i" 5; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "i" 5; "b" "g" "l" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "i" 5; "b" "g" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "i" 5; "b" "g" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "i" 5; "b" "g" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "i" 5; "b" "g" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "i" 5; "b" "g" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "i" 5; "b" "g" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "i" 5; "b" "g" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "i" 5; "b" "g" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
"a" "c" "i" 5; "b" "g" "n" "r" "y" "z" 4; "c" "f" "h" "l" "p" 4; "d" "c" "q" "s" "x" 4; "e" "l" "w" 5;
