none
none
none
none
none
none
none
none
none
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"e" "n" 1;
"a" "g" 1; "b" "p" 1; "e" "n" 1;
"a" "g" 1; "b" "p" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "p" 1; "d" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "g" 1; "b" "p" 1; "d" "y" 1; "e" "a" "g" "i" "n" 1;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" "g" 4; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "a" "n" "r" "v" "y" 3;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "i" "n" "o" "r" "u" "v" 2; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" 3; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "w" 3; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "w" 3; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "w" 3; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "w" 3; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" "x" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" "x" 3; "e" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" "x" 3; "e" "a" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" "x" 3; "e" "a" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" "x" 3; "e" "a" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" "x" 3; "e" "a" "v" 4;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "h" "r" "w" 3; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 4; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 4; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 4; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 4; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 4; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 5; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 6; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" "d" "i" "l" "t" "x" 3; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 4; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 4; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 4; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 4; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" "y" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" "y" 6; "d" "a" 5; "e" "a" "v" 5;
"a" "r" 5; "b" "x" 7; "c" "c" "y" 6; "d" "a" 5; "e" "a" "v" 5;
