none
none
none
none
none
none
none
none
none
none
none
none
none
none
"b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1;
"a" "c" 1; "b" "p" 1; "c" "p" 1; "e" "h" 1;
"a" "c" 1; "b" "p" 1; "c" "p" 1; "e" "h" 1;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "e" "u" 4;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "m" "v" "y" "z" 3; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "n" "s" "x" 4; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 5;
"a" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "x" 5; "b" "f" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "x" 5; "b" "f" "j" "p" "w" 4; "c" "l" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "l" "v" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "l" "v" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "l" "v" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "l" "v" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "l" "v" "x" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "l" "v" "x" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "l" "v" "x" "y" "z" 4; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "y" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "y" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "y" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "y" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "y" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "y" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "y" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "f" "j" "p" "w" 4; "c" "y" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" 4; "c" "y" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" 6; "b" "b" "f" "j" "p" "q" "w" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" 6; "b" "b" "f" "j" "p" "q" "w" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" 6; "b" "b" "f" "j" "p" "q" "w" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" 6; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" 6; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" 6; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" "l" "v" "y" "z" 5; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "v" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "v" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "v" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "v" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "v" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
"a" "e" "n" "s" "t" "x" 5; "b" "b" "f" "i" "j" "p" "q" "u" "v" "w" "x" 4; "c" "f" 6; "d" "a" "c" 5; "e" "u" 6;
