none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"e" "e" 1;
"a" "o" 1; "e" "e" 1;
"a" "o" 1; "e" "e" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "j" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "j" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "j" 1;
"a" "o" 1; "b" "l" 1; "e" "e" "f" "j" 1;
"a" "o" 1; "b" "l" 1; "c" "b" 1; "e" "e" "f" "j" 1;
"a" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "f" "i" "l" "q" "r" 3;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "o" "x" 4; "d" "k" "q" 4; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "m" "o" "x" 4; "d" "o" 5; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "m" "o" "x" 4; "d" "o" 5; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "m" "o" "x" 4; "d" "o" 5; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "m" "o" "x" 4; "d" "o" 5; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "m" "o" "x" 4; "d" "o" 5; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "m" "o" "x" 4; "d" "o" 5; "e" "a" "b" "i" 4;
"a" "i" "o" 5; "b" "g" 5; "c" "m" "o" "x" 4; "d" "o" 5; "e" "i" 5;
"a" "i" "o" 5; "b" "g" 5; "c" "m" "o" "x" 4; "d" "o" 5; "e" "i" 5;
"a" "i" "o" 5; "b" "g" 5; "c" "m" "o" "x" 4; "d" "o" 5; "e" "i" 5;
"a" "i" "o" 5; "b" "g" 5; "c" "m" 5; "d" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" 5; "c" "m" 5; "d" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" 5; "c" "m" 5; "d" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" 5; "c" "m" 5; "d" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" 5; "c" "m" 5; "d" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "c" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" 5; "c" "m" 5; "d" "c" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" "t" 5; "c" "m" 5; "d" "c" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" "t" 5; "c" "m" 5; "d" "c" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" "t" 5; "c" "m" 5; "d" "c" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" "t" 5; "c" "m" 5; "d" "c" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" "t" 5; "c" "m" 5; "d" "c" "k" "o" 5; "e" "i" 6;
"a" "i" "o" 5; "b" "g" "n" "t" 5; "c" "m" 5; "d" "c" "k" "o" 5; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "k" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "i" "o" "r" 5; "b" "g" "n" "t" 5; "c" "k" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "o" "r" 5; "b" "g" "n" "t" 5; "c" "k" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "o" "r" 5; "b" "g" "n" "t" 5; "c" "k" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "o" "r" 5; "b" "g" "n" "t" 5; "c" "k" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "o" "r" 5; "b" "g" "n" "t" 5; "c" "k" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "o" "r" 5; "b" "g" "n" "t" 5; "c" "k" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "o" "r" 5; "b" "g" "n" "t" 5; "c" "k" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "o" "r" 5; "b" "g" "n" "t" 5; "c" "k" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
"a" "o" "r" 5; "b" "g" "n" "t" 5; "c" "k" "m" "o" "x" 5; "d" "c" 6; "e" "i" 6;
