none
none
none
none
none
none
none
none
none
none
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "d" "k" "x" 1; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "z" 1; "c" "m" 1; "d" "x" 2; "e" "x" 1;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" "j" "k" "m" "x" "z" 3; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 6;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "i" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "i" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "i" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "i" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "i" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" 5; "b" "h" 6; "c" "g" "i" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "a" "c" "h" "k" "v" 4; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "d" "i" 5; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "i" 6; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "i" 6; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "i" 6; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "i" 6; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
"a" "i" 6; "b" "h" 6; "c" "g" "i" "k" "m" "x" 4; "d" "h" 5; "e" "x" 7;
