none
none
none
none
none
none
none
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" 1;
"d" "s" 1; "e" "t" "z" 1;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "m" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"b" "h" 1; "c" "m" "t" "u" 1; "d" "s" 1; "e" "z" 2;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 7;
"a" "m" "q" "t" 3; "b" "h" "p" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "h" "p" "t" 3; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" 5; "e" "w" 8;
"a" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "j" "m" "t" 4; "d" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "t" 4; "c" "m" 5; "d" "h" "j" "m" 4; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 8;
"a" "i" "m" "q" "t" 3; "b" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "i" "m" "q" "t" 3; "b" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "i" "m" "q" "t" 3; "b" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "i" "m" "q" "t" 3; "b" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "i" "m" "q" "s" "t" 3; "b" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "m" "p" "t" 4; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 5; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "k" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "k" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "k" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "k" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "k" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "k" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "k" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "f" "h" "i" "k" "m" "q" "s" "t" "v" 3; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 9;
"a" "s" 4; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 10;
"a" "s" 4; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 10;
"a" "s" 4; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 10;
"a" "s" 4; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 10;
"a" "s" 4; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 10;
"a" "s" 4; "b" "t" 5; "c" "m" 5; "d" "m" 6; "e" "w" 10;
"a" "s" 4; "b" "t" 5; "c" "f" "m" 5; "d" "m" 6; "e" "w" 10;
"a" "s" 4; "b" "t" 5; "c" "f" "m" 5; "d" "m" 6; "e" "w" 10;
"a" "s" 4; "b" "t" 5; "c" "f" "m" 5; "d" "m" 6; "e" "w" 10;
"a" "s" 4; "b" "t" 5; "c" "f" "m" 5; "d" "m" 6; "e" "w" 10;
