none
none
none
none
none
none
none
none
none
none
none
none
none
none
none
"d" "i" 1;
"d" "i" 1;
"d" "i" 1;
"d" "i" 1;
"a" "i" "j" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "i" "j" 1; "b" "s" 1; "d" "i" 1; "e" "m" 1;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 7;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "a" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "k" "y" 4; "b" "a" "d" "t" 5; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "a" "d" "t" 5; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "a" "d" "t" 5; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "a" "d" "t" 5; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "a" "d" "t" 5; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "a" "d" "t" 5; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "a" "d" "t" 5; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "a" "d" "t" 5; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "k" "o" "r" "y" 4; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "u" "z" 5; "e" "p" 6;
"a" "e" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "o" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "o" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "o" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "o" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "p" 6;
"a" "e" "i" "o" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "k" "p" 6;
"a" "e" "i" "o" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "k" "p" 6;
"a" "e" "i" "o" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "k" "p" 6;
"a" "e" "i" "o" 5; "b" "t" 6; "c" "b" "e" "h" "w" 5; "d" "q" "u" "z" 5; "e" "k" "p" 6;
